data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.LastInteractive,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.userTime,data.average.firstView.userTime.snaptr,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
24,,,3754.4000000053,3754.4000000053,5242,1979,,,0,1,700,9,4859517,4735936,32035,27248,0,,18795,3813,3800,3800,1990,27,3754,3754,3733,3754,3754,3754,3754,18885,18795,2426,1988,1988,21,,,1540826282.8572972,18796,18796,3814,3801,831,3801,0,0,229384,281615,1,3754,3754,3734,3754,3754.4000000053,3754,23164,17360,37.920489296599996,15448,2030945,1130057,2662992,13400,0.74,0.87,0.12,1432.549,5865.734,6786.009,5865.7469999999985,33009.828,11646,0.31,0.9,18886,18796,18796,0,-1,-1,1,3800,200,150,200,148,1,51,99999,1,44,91,-1,58,-1,-1,100,100,-1,72,0,4,0,1,0,32683,0,10613,10613,13000,5400,5400,5400,5400,9000,9000,1540826386,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_1Z_4eb45026d4c681562061d9e9a9d9cee2,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_1Z_4eb45026d4c681562061d9e9a9d9cee2,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,VM3-04-192.168.11.111,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,29,10,browse24,44,2018,200,Test Complete,18.1
24,,,4415.0000000009,4415.0000000009,5109,2306,,,0,1,705,9,4883018,4772802,35164,28511,0,,21578,4469,4463,4462,2329,24,4414,4414,4391,4414,4414,4414,4414,21596,21578,2708,2327,2327,26,,,1540833250.44225,21579,21579,4470,4463,830,4463,0,0,225971,247641,1,4415,4415,4391,4415,4415.0000000009,4415,23915,20889,44.267853358800004,15452,2012262,1137320,2706342,16100,0.74,0.87,0.25,1815.078,6489.1269999999995,7552.605,6489.142,7552.6049999924,12251,0.31,0.9,21597,21579,21579,0,-1,-1,1,4500,202,181,202,145,1,56,99999,1,46,94,-1,58,-1,-1,100,100,-1,71,0,3,0,1,0,35970,0,12846,12846,15200,5100,5100,5100,5100,9000,9000,1540833361,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_CC_eb5a7470210851676bab3e7f8f6a1080,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_CC_eb5a7470210851676bab3e7f8f6a1080,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,VM2-01-192.168.11.98,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,29,10,browse24,44,2018,200,Test Complete,18.1
24,,,4583.5999999981,4583.5999999981,5899,2765,,,0,1,709,9,4826888,4810729,30399,27509,0,,17680,4651,4642,4642,2775,20,4583,4583,4555,4583,4583,4583,4583,17695,17680,3177,2774,2774,23,,,1540838976.07249,17681,17680,4651,4643,768,4642,0,0,269718,322521,1,4584,4584,4555,4584,4583.5999999981,4584,20661,17469,43.4685245086,15452,1993404,1150611,2760044,14900,0.74,0.87,0.31,1670.979,6075.929,6760.589,6075.945,6760.589,11244,0.31,0.9,17695,17680,17681,0,-1,-1,1,4700,157,143,157,123,1,33,99999,1,45,93,-1,59,-1,-1,100,100,-1,69,0,1,0,1,0,28879,0,12180,12180,14700,6000,6000,6000,6000,9000,9000,1540839071,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_W6_5b4829aa14571f1c9b4f56d48caffe75,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_W6_5b4829aa14571f1c9b4f56d48caffe75,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,VM2-03-192.168.11.100,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,29,10,browse24,44,2018,200,Test Complete,18.1
24,,,3581.1999999969,3581.0999999994,4983,1780,,,0,1,710,9,4910789,4786580,31868,27663,0,,16993,3648,3642,3641,1787,19,3581,3581,3553,3581,3581,3581,3581,17012,16993,2195,1786,1786,23,,,1540848067.230621,16994,16994,3649,3642,832,3642,0,0,241209,314616,1,3581,3581,3554,3581,3581.0999999994,3581,22139,17179,39.2416628598,15449,2026999,1141606,2718764,13700,0.74,0.87,0.24,1397.7920000000001,7084.166,7783.229,7084.178000000001,7783.229,10537,0.31,0.9,17013,16994,16994,0,-1,-1,1,3700,200,143,200,147,1,52,99999,1,44,92,-1,59,-1,-1,100,100,-1,70,0,3,0,1,0,32073,0,10670,10670,13100,5100,5100,5100,5100,9000,9000,1540848164,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_2B_07043262f98ac278c70f1f39c7fd79d2,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_2B_07043262f98ac278c70f1f39c7fd79d2,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,VM4-06-192.168.11.124,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,29,10,browse24,44,2018,200,Test Complete,18.1
24,,,3740.7999999996,3740.7999999996,5245,1989,,,0,1,699,9,4820194,4784406,30498,26160,0,,14844,3785,3779,3779,1998,5,3740,3740,3706,3740,3740,3740,3740,14864,14844,2404,1997,1997,24,,,1540848502.6497462,14845,14844,3785,3779,835,3779,0,0,284999,372153,1,3741,3741,3707,3741,3740.7999999996,3741,18902,16329,44.147066774799995,15453,2029257,1141606,2716708,14100,0.74,0.87,0.34,1653.457,5576.683000000001,6447.6640000000025,5576.694,6447.6640000000025,11045,0.31,0.9,14864,14844,14845,0,-1,-1,1,3800,161,136,161,127,1,33,99999,1,43,91,-1,58,-1,-1,100,100,-1,70,0,1,0,1,0,28362,0,11189,11189,13500,5400,5400,5400,5400,9000,9000,1540848603,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_43_0c1b07e49066259354980681adc25771,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_43_0c1b07e49066259354980681adc25771,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,VM1-04-192.168.11.91,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,29,10,browse24,44,2018,200,Test Complete,18.1
24,,,3533.7,3533.7,5052,1761,,,0,1,699,9,4913782,4782937,33222,27603,0,,15345,3591,3585,3585,1771,12,3533,3533,3509,3533,3533,3533,3533,15370,15345,2177,1770,1770,26,,,1540870379.58518,15345,15346,3592,3586,831,3585,0,0,235368,352100,1,3534,3534,3510,3534,3533.7,3534,22638,16369,37.0949467482,44886,2055063,1137846,2692396,14000,0.74,0.87,0.28,1557.815,6175.545,7072.498000000001,6175.557,7072.498000000001,11903,0.31,0.9,15371,15346,15345,0,-1,-1,1,3600,206,143,206,147,1,58,99999,1,45,93,-1,58,-1,-1,98,100,-1,71,0,3,0,1,0,32606,0,11749,11749,13800,5200,5200,5200,5200,9000,9000,1540870478,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181030_8K_d52a46604e7e7053efa2cf71f153aea6,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181030_8K_d52a46604e7e7053efa2cf71f153aea6,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,VM2-04-192.168.11.101,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,29,10,browse24,44,2018,200,Test Complete,18.1
24,,,4016.9000000024,4016.9000000024,5386,2094,,,0,1,702,9,4884021,4848319,31695,27994,0,,16089,4083,4073,4072,2106,7,4016,4016,3991,4016,4016,4016,4016,16110,16089,2549,2105,2105,25,,,1540914487.3502731,16090,16089,4083,4073,830,4073,0,0,270343,346407,1,4017,4017,3991,4017,4016.9000000024,4017,20160,17160,43.8874680307,15452,2029958,1157011,2780379,14900,0.74,0.87,0.07,1486.5810000000001,7437.063,8444.222,7437.076,34543.1199999924,12389,0.31,0.9,16110,16090,16090,0,-1,-1,1,4100,157,138,157,120,1,36,99999,1,43,91,-1,59,-1,-1,100,100,-1,69,0,1,0,1,0,30089,0,12071,12071,14300,5500,5500,5500,5500,9000,9000,1540914585,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181030_ZE_9a0d23d7972a8a17a5b868e106a796b1,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181030_ZE_9a0d23d7972a8a17a5b868e106a796b1,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,VM4-08-192.168.11.126,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,30,10,browse24,44,2018,200,Test Complete,18.1
24,,,3717.4000000014003,3717.4000000014003,5069,1793,,,0,1,706,9,4919318,4889794,30746,27879,0,,15200,3777,3770,3770,1802,14,3717,3717,3566,3717,3717,3717,3717,15235,15200,2237,1801,1801,24,,,1540931722.7469618,15200,15201,3778,3771,830,3771,0,0,282735,364719,1,3717,3717,3567,3717,3717.4000000014003,3717,19192,17820,47.4188398084,15439,2005284,1174693,2839867,14200,0.74,0.87,0.12,1223.728,5858.215,6738.689,5858.227,40151.372,12803,0.31,0.9,15236,15201,15200,0,-1,-1,1,3700,186,141,186,134,1,51,99999,1,44,93,-1,59,-1,-1,100,100,-1,67,0,1,0,1,0,27913,0,11294,11294,13900,5200,5200,5200,5200,9000,9000,1540931825,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181030_SS_99f0be496161dba691f867b1fabc6889,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181030_SS_99f0be496161dba691f867b1fabc6889,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,VM1-07-192.168.11.94,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,30,10,browse24,44,2018,200,Test Complete,18.1
24,,,4002.5999999998,4002.5999999998,5443,1975,,,0,1,702,9,4948557,4918753,31321,27872,0,,15475,4060,4053,4053,1987,30,4002,4002,3979,4002,4002,4002,4002,15513,15476,2432,1986,1986,25,,,1540932510.372877,15476,15476,4060,4054,830,4053,0,0,274996,364325,1,4003,4003,3980,4003,4002.5999999998,4003,19970,17280,44.6050593702,44867,2033102,1174693,2839867,14600,0.74,0.87,0.29,1499.8470000000002,6095.196999999999,6953.344,6095.209,6953.344,11921,0.31,0.9,15513,15476,15476,0,-1,-1,1,4000,192,140,192,139,1,52,99999,1,44,93,-1,59,-1,-1,98,100,-1,67,0,2,0,1,0,29722,0,11748,11748,14100,5600,5600,5600,5600,9000,9000,1540932606,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181030_P3_7b344be3f611a3fb4e8cf4d288f94899,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181030_P3_7b344be3f611a3fb4e8cf4d288f94899,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,VM3-07-192.168.11.114,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,30,10,browse24,44,2018,200,Test Complete,18.1
24,,,4115.2999999904,4115.2999999904,5551,2346,,,0,1,703,9,5098471,4974678,34855,30046,0,,18988,4161,4156,4155,2355,10,4115,4115,4085,4115,4115,4115,4115,19017,18988,2789,2355,2355,30,,,1540957701.468584,18988,18989,4162,4156,832,4156,0,0,233756,298923,1,4115,4115,4085,4115,4115.2999999904,4115,24157,16870,35.665961945,44882,2055023,1182758,2876619,14700,0.74,0.87,0.33,1588.445,5662.982,6527.595,5662.994000000002,6527.595,11118,0.31,0.9,19018,18989,18988,0,-1,-1,1,4100,212,155,212,147,1,64,99999,1,45,93,-1,59,-1,-1,98,100,-1,66,0,3,0,1,0,34256,0,11827,11827,14200,5700,5700,5700,5700,9000,9000,1540957802,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181031_6Z_2c49fa761248f521cde0191f7d69a374,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181031_6Z_2c49fa761248f521cde0191f7d69a374,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,VM4-05-192.168.11.123,https://jet.com/c/fashion/shop-by-brand/bonobos/3620660400?experienceId=24,30,10,browse24,44,2018,200,Test Complete,18.1
