data.average.firstView,data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.LastInteractive,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.userTime,data.average.firstView.userTime.snaptr,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
,24.0,,,4590.7000000007,4590.7000000007,4790.0,2336.0,,,0.0,1.0,709.0,2.0,4034718.0,3910475.0,39508.0,32359.0,0.0,,16809.0,4642.0,4599.0,4599.0,2356.0,13.0,4590.0,4590.0,4470.0,4590.0,4590.0,4590.0,4590.0,16902.0,16809.0,2758.0,2354.0,2354.0,26.0,,,1540685704.159996,16810.0,16809.0,4642.0,4599.0,1257.0,4599.0,0.0,0.0,193011.0,270172.0,1.0,4591.0,4591.0,4470.0,4591.0,4590.7000000007,4591.0,23240.0,22200.0,48.8019344911,44879.0,2055775.0,505396.0,1781102.0,14600.0,0.66,0.87,0.15,1962.248,6458.774,9590.042,6458.788000000001,35489.668,6979.0,0.31,0.9,16903.0,16810.0,16810.0,0.0,-1.0,-1.0,1.0,4600.0,218.0,156.0,218.0,163.0,1.0,54.0,99999.0,1.0,46.0,94.0,-1.0,72.0,-1.0,-1.0,98.0,100.0,-1.0,0.0,0.0,4.0,0.0,1.0,0.0,33361.0,0.0,12059.0,12059.0,14600.0,4600.0,4600.0,4600.0,5700.0,9000,9000,1540685803,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_M8_2262f0dad5f0c6c71a85b581ceb250ed,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_M8_2262f0dad5f0c6c71a85b581ceb250ed,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,VM4-02-192.168.11.120,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,27,10,browse26,43,2018,200,Test Complete,18.1
,24.0,,,4411.4000000045,4411.4000000045,4654.0,2305.0,,,0.0,1.0,700.0,2.0,3907088.0,3878092.0,37611.0,32374.0,0.0,,14402.0,4424.0,4403.0,4403.0,2316.0,10.0,4411.0,4411.0,4305.0,4411.0,4411.0,4411.0,4411.0,14462.0,14402.0,2727.0,2315.0,2315.0,24.0,,,1540685837.986622,14403.0,14403.0,4425.0,4404.0,1256.0,4404.0,0.0,0.0,241715.0,320556.0,1.0,4411.0,4411.0,4306.0,4411.0,4411.4000000045,4411.0,18469.0,16289.0,44.6546052632,15451.0,2022482.0,505396.0,1779003.0,12600.0,0.66,0.87,,,5395.636,,5395.648,,5943.0,0.58,0.9,14462.0,14403.0,14403.0,0.0,-1.0,-1.0,1.0,4500.0,191.0,154.0,191.0,143.0,1.0,47.0,99999.0,1.0,44.0,91.0,-1.0,72.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,2.0,0.0,1.0,0.0,25775.0,0.0,10457.0,10457.0,12100.0,4500.0,4500.0,4500.0,5600.0,9000,9000,1540685932,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_SM_ef3bdbec87db26aea5dadb58877355df,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_SM_ef3bdbec87db26aea5dadb58877355df,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,VM3-03-192.168.11.110,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,27,10,browse26,43,2018,200,Test Complete,18.1
,24.0,,,4070.5999999990995,4070.5999999990995,4247.0,2143.0,,,0.0,1.0,707.0,2.0,3911501.0,3882505.0,37424.0,32142.0,0.0,,14447.0,4120.0,4093.0,4093.0,2151.0,11.0,4070.0,4070.0,3992.0,4070.0,4070.0,4070.0,4070.0,14504.0,14447.0,2606.0,2150.0,2150.0,24.0,,,1540709717.2679439,14447.0,14447.0,4121.0,4094.0,1258.0,4093.0,0.0,0.0,238782.0,315548.0,1.0,4071.0,4071.0,3993.0,4071.0,4070.5999999990995,4071.0,18524.0,16309.0,44.7830862164,15454.0,2026564.0,505396.0,1779003.0,13200.0,0.66,0.87,0.24,2273.663,5224.121,8825.218,5224.132000000001,34885.623000007596,5778.0,0.31,0.9,14504.0,14447.0,14447.0,0.0,-1.0,-1.0,1.0,4100.0,198.0,158.0,198.0,149.0,1.0,48.0,99999.0,1.0,43.0,92.0,-1.0,72.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,2.0,0.0,1.0,0.0,25749.0,0.0,10419.0,10419.0,12200.0,4100.0,4100.0,4100.0,5200.0,9000,9000,1540709808,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_7F_04baafc09f968fc97b908dc1ecc4dc48,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_7F_04baafc09f968fc97b908dc1ecc4dc48,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,VM3-02-192.168.11.109,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,28,10,browse26,43,2018,200,Test Complete,18.1
,24.0,,,4281.6000000021,4281.6000000021,4458.0,2167.0,,,0.0,1.0,705.0,2.0,3902136.0,3873651.0,39006.0,32567.0,0.0,14681.0,14602.0,4339.0,4318.0,4318.0,2176.0,15.0,4281.0,4281.0,4210.0,4281.0,4281.0,4281.0,4281.0,14680.0,14602.0,2626.0,2175.0,2175.0,26.0,,,1540713893.770736,14603.0,14602.0,4339.0,4318.0,1196.0,4318.0,0.0,0.0,228998.0,311486.0,1.0,4282.0,4282.0,4211.0,4282.0,4281.6000000021,4282.0,19207.0,17120.0,42.3552696685,15453.0,2016220.0,505396.0,1779003.0,12800.0,0.66,0.87,0.22,1907.047,5384.584,9185.334,5384.595,34650.139,5935.0,0.31,0.9,14680.0,14602.0,14603.0,0.0,-1.0,-1.0,1.0,4300.0,173.0,158.0,173.0,140.0,1.0,32.0,99999.0,1.0,44.0,92.0,-1.0,72.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,28279.0,0.0,10485.0,10485.0,12400.0,4300.0,4300.0,4300.0,5500.0,9000,9000,1540713988,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_N7_c5a5b8148b5bad18f67af83c03af4833,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_N7_c5a5b8148b5bad18f67af83c03af4833,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,VM2-08-192.168.11.105,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,28,10,browse26,43,2018,200,Test Complete,18.1
,24.0,,,4229.6999999999,4229.6999999999,4354.0,2174.0,,,0.0,1.0,705.0,2.0,3924189.0,3894249.0,37989.0,32152.0,0.0,15394.0,15320.0,4236.0,4195.0,4194.0,2186.0,11.0,4229.0,4229.0,4107.0,4229.0,4229.0,4229.0,4229.0,15394.0,15320.0,2594.0,2186.0,2186.0,24.0,,,1540817891.206381,15321.0,15321.0,4237.0,4195.0,1195.0,4195.0,0.0,0.0,198884.0,296208.0,1.0,4230.0,4230.0,4107.0,4230.0,4229.6999999999,4230.0,21905.0,19310.0,45.413922859799996,44878.0,2047067.0,501850.0,1769384.0,13800.0,0.66,0.87,,1796.9129999999998,5426.5030000000015,8933.991,5426.513000000001,,5967.0,0.31,0.9,15394.0,15321.0,15321.0,0.0,-1.0,-1.0,1.0,4200.0,216.0,157.0,216.0,160.0,1.0,55.0,99999.0,1.0,42.0,93.0,-1.0,72.0,-1.0,-1.0,98.0,100.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,30279.0,0.0,10928.0,10928.0,12900.0,4200.0,4200.0,4200.0,5100.0,9000,9000,1540817982,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_TM_92fbd4f8dbe877817dccd2e661dd67d2,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_TM_92fbd4f8dbe877817dccd2e661dd67d2,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,VM4-02-192.168.11.120,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,29,10,browse26,44,2018,200,Test Complete,18.1
,24.0,,,4402.1999999968,4402.1999999968,4563.0,2343.0,,,0.0,1.0,705.0,2.0,4001115.0,3876949.0,39312.0,32370.0,0.0,,16556.0,4467.0,4444.0,4444.0,2357.0,18.0,4402.0,4402.0,4326.0,4402.0,4402.0,4402.0,4402.0,16653.0,16557.0,2822.0,2357.0,2357.0,25.0,,,1540826284.213964,16557.0,16556.0,4467.0,4444.0,1259.0,4444.0,0.0,0.0,200175.0,272755.0,1.0,4402.0,4402.0,4326.0,4402.0,4402.1999999968,4402.0,22331.0,20379.0,46.7645709041,15454.0,2032912.0,501850.0,1771473.0,13400.0,0.66,0.87,0.2,2484.195,5699.911,9484.43,5699.924,35603.602,6253.0,0.31,0.9,16653.0,16557.0,16557.0,0.0,-1.0,-1.0,1.0,4400.0,218.0,157.0,218.0,164.0,1.0,53.0,99999.0,1.0,44.0,91.0,-1.0,72.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,4.0,0.0,1.0,0.0,31772.0,0.0,11082.0,11082.0,13400.0,4400.0,4400.0,4400.0,5500.0,9000,9000,1540826383,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_SR_cfd7a9607f53b618cede4cb23806a086,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_SR_cfd7a9607f53b618cede4cb23806a086,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,VM2-04-192.168.11.101,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,29,10,browse26,44,2018,200,Test Complete,18.1
,24.0,,,4878.4999999989,4878.4999999989,5008.0,2816.0,,,0.0,1.0,701.0,2.0,3974907.0,3959255.0,38853.0,33016.0,0.0,22853.0,22777.0,4835.0,4820.0,4819.0,2829.0,15.0,4878.0,4878.0,4730.0,4878.0,4878.0,4878.0,4878.0,22853.0,22777.0,3228.0,2828.0,2828.0,26.0,,,1540833250.470447,22778.0,22777.0,4835.0,4821.0,1255.0,4819.0,0.0,0.0,171724.0,198339.0,1.0,4878.0,4878.0,4730.0,4878.0,4878.4999999989,4878.0,25963.0,22239.0,41.3459750883,15449.0,2009163.0,501850.0,1771434.0,14400.0,0.66,0.87,0.16,2834.643,6148.225,9780.156,6148.243,36438.076,6695.0,0.31,0.9,22853.0,22777.0,22778.0,0.0,-1.0,-1.0,1.0,4900.0,169.0,159.0,169.0,136.0,1.0,32.0,99999.0,1.0,46.0,94.0,-1.0,72.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,2.0,0.0,1.0,0.0,39640.0,0.0,12056.0,12056.0,13900.0,4900.0,4900.0,4900.0,5100.0,9000,9000,1540833362,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_8M_66106d21cfc05d78d96f2c8e48b5161f,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_8M_66106d21cfc05d78d96f2c8e48b5161f,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,VM4-05-192.168.11.123,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,29,10,browse26,44,2018,200,Test Complete,18.1
,24.0,,,4250.6999999969,4250.6999999969,4396.0,2136.0,,,0.0,1.0,701.0,2.0,3997161.0,3872917.0,40048.0,32899.0,0.0,,15200.0,4317.0,4290.0,4289.0,2146.0,18.0,4250.0,4250.0,4148.0,4250.0,4250.0,4250.0,4250.0,15298.0,15200.0,2552.0,2145.0,2145.0,26.0,,,1540848067.3658009,15200.0,15200.0,4317.0,4290.0,1256.0,4289.0,0.0,0.0,208163.0,296457.0,1.0,4251.0,4251.0,4149.0,4251.0,4250.6999999969,4251.0,21338.0,18929.0,43.931306567600004,15452.0,2028746.0,501850.0,1771457.0,13200.0,0.66,0.87,0.18,2191.516,5500.1,16555.528000000002,5500.114000000001,32521.529,6107.0,0.31,0.9,15298.0,15200.0,15200.0,0.0,-1.0,-1.0,1.0,4300.0,219.0,157.0,219.0,162.0,1.0,56.0,99999.0,1.0,45.0,93.0,-1.0,72.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,4.0,0.0,1.0,0.0,31042.0,0.0,10978.0,10978.0,12600.0,4300.0,4300.0,4300.0,4500.0,9000,9000,1540848167,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_C7_341c35f4c9881bd0bda196496a346783,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_C7_341c35f4c9881bd0bda196496a346783,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,VM4-02-192.168.11.120,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,29,10,browse26,44,2018,200,Test Complete,18.1
,24.0,,,4195.2000000019,4195.2000000019,4366.0,2055.0,,,0.0,1.0,709.0,2.0,3997073.0,3872872.0,39361.0,32793.0,0.0,,15362.0,4237.0,4204.0,4204.0,2067.0,11.0,4195.0,4195.0,4093.0,4195.0,4195.0,4195.0,4195.0,15427.0,15362.0,2478.0,2066.0,2066.0,26.0,,,1540848508.1701062,15363.0,15362.0,4238.0,4205.0,1257.0,4204.0,0.0,0.0,205441.0,291018.0,1.0,4195.0,4195.0,4094.0,4195.0,4195.2000000019,4195.0,21511.0,20159.0,46.4302164901,15449.0,2028635.0,501850.0,1771415.0,13300.0,0.66,0.87,0.22,2326.071,5434.453,8929.438,5434.464,35203.936,5991.0,0.31,0.9,15427.0,15362.0,15363.0,0.0,-1.0,-1.0,1.0,4200.0,218.0,158.0,218.0,160.0,1.0,57.0,99999.0,1.0,46.0,93.0,-1.0,72.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,4.0,0.0,1.0,0.0,30416.0,0.0,11103.0,11103.0,13300.0,4200.0,4200.0,4200.0,5100.0,9000,9000,1540848606,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_GP_c825ad33a079242def748df76471505d,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_GP_c825ad33a079242def748df76471505d,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,VM2-08-192.168.11.105,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,29,10,browse26,44,2018,200,Test Complete,18.1
,24.0,,,4129.6000000002,4129.6000000002,4364.0,2157.0,,,0.0,1.0,706.0,2.0,4034500.0,3910288.0,38489.0,31919.0,0.0,,15289.0,4169.0,4146.0,4146.0,2167.0,22.0,4129.0,4129.0,4022.0,4129.0,4129.0,4129.0,4129.0,15364.0,15289.0,2634.0,2166.0,2166.0,23.0,,,1540905488.929734,15290.0,15290.0,4170.0,4147.0,1256.0,4147.0,0.0,0.0,203865.0,297745.0,1.0,4130.0,4130.0,4023.0,4130.0,4129.6000000002,4130.0,21947.0,18859.0,43.5565819861,44878.0,2058576.0,504131.0,1778322.0,13300.0,0.66,0.87,0.21,2298.58,5591.525,9094.26,5591.547,35111.195,6133.0,0.31,0.9,15365.0,15290.0,15290.0,0.0,-1.0,-1.0,1.0,4200.0,213.0,152.0,213.0,159.0,1.0,53.0,99999.0,1.0,45.0,93.0,-1.0,72.0,-1.0,-1.0,98.0,100.0,-1.0,0.0,0.0,4.0,0.0,1.0,0.0,29940.0,0.0,10955.0,10955.0,13300.0,4200.0,4200.0,4200.0,5500.0,9000,9000,1540905584,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181030_J4_44110e7c114404ea689bc9a7ad2ad93e,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181030_J4_44110e7c114404ea689bc9a7ad2ad93e,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,VM1-08-192.168.11.95,https://jet.com/c/electronics/4k-televisions/7587485051?experienceId=26,30,10,browse26,44,2018,200,Test Complete,18.1
