data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.FirstPaintedHero,data.average.firstView.LastInteractive,data.average.firstView.LastPaintedHero,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.heroElementTimes.BackgroundImage,data.average.firstView.heroElementTimes.FirstPaintedHero,data.average.firstView.heroElementTimes.Heading,data.average.firstView.heroElementTimes.Image,data.average.firstView.heroElementTimes.LastPaintedHero,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.max-potential-fid,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.userTime,data.average.firstView.userTime.first_paint,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testRuns,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
24,5144,,3791,,3791.1800000002004,3791.1800000002004,8196,2287,12052,3791,0,1,834.0,0,1276462,1273670,21767,21596,0,,9880,5143,5143,3992,2704,19.0,3791,3791,3732,3791,3791,3791,3791.0,9880,9880,3578,2704,2704,23,10202,110,1549076807.1974142,9880,9881,5144,5144,3645,3993,0,0,159060,167742.0,0,3791.0,3791.0,3732.0,3791.0,3791.1800000002004,3791.0,10312,8420,34.8654244307,0,1233284,,,,,,0,422485,9900,0.56,0.86,,127.54299999999999,3744.434,9713.308,3744.4359999999997,,,19158.0,0.23,0.82,9881,9881,9880,0,-1,-1,1,3800,97,95,97,91,1,5,99999,1,97,97,-1,100,-1,-1,100,100,-1,0,0,54,0,1,0,17184,0,3600,3600,9800,9100,9700,9700,9800,9000,9000,1549076841,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190202_0W_fb26b93ed5c243992fc9f1a3e0168407,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190202_0W_fb26b93ed5c243992fc9f1a3e0168407,,https://www.flipkart.com/,VM04-01-192.168.10.80,https://www.flipkart.com/,1,2,flipkart-home,5,2019,200,Test Complete,18.1
24,4996,,3445,,3445.8850000083007,3445.8850000083007,8188,2275,12074,3445,0,1,834.0,0,1280689,1277897,21425,21254,0,,9777,4996,4996,3779,2289,36.0,3445,3445,3372,3445,3445,3445,3445.0,9778,9777,3501,2288,2288,23,10081,130,1549120516.742452,9778,9777,4996,4996,3681,3780,0,0,161377,170318.0,0,3446.0,3446.0,3372.0,3446.0,3445.8850000083007,3446.0,10211,10369,42.3957481602,0,1237506,,,,,,0,427606,9900,0.56,0.86,0.19,93.13600000000001,3754.5820000000003,9216.634,3754.5840000000003,28439.319,,12791.0,0.23,0.82,9778,9778,9778,0,-1,-1,1,3500,95,93,95,89,1,5,99999,1,96,96,-1,100,-1,-1,100,100,-1,0,0,50,0,1,0,17785,0,3216,3216,9800,9200,9700,9800,9800,9000,9000,1549120501,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190202_SR_2d197e8e17eb3bdc3da656440d0c6583,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190202_SR_2d197e8e17eb3bdc3da656440d0c6583,,https://www.flipkart.com/,VM04-02-192.168.10.90,https://www.flipkart.com/,2,2,flipkart-home,5,2019,200,Test Complete,18.1
24,5131,,3706,,3706.6549999945,3706.6549999945,8667,2159,14275,3706,0,1,821.0,0,1363291,1223330,19715,17947,0,,9787,5131,5131,3736,2570,16.0,3706,3706,3655,3706,3706,3706,3706.0,9787,9787,3387,2569,2569,23,12382,164,1549164237.5961099,9787,9787,5131,5131,3616,3737,0,0,131249,160373.0,0,3707.0,3707.0,3655.0,3707.0,3706.6549999945,3707.0,12546,9239,31.269035533,0,1320117,,,,,,0,512107,13000,0.56,0.86,0.2,143.3355,3483.401,9835.780999999999,3483.403,55342.6670000076,,16684.0,0.23,0.82,9788,9787,9787,0,-1,-1,1,3700,85,80,85,79,1,5,99999,1,95,95,-1,100,-1,-1,100,100,-1,0,0,38,0,1,0,19800,0,3510,3510,13000,12000,12000,12100,12200,9000,9000,1549164274,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190203_QC_f94837bcbf4ca08d2628c9e15b30b971,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190203_QC_f94837bcbf4ca08d2628c9e15b30b971,,https://www.flipkart.com/,VM03-07-192.168.10.86,https://www.flipkart.com/,2,2,flipkart-home,5,2019,200,Test Complete,18.1
24,5029,,3684,,3684.1949999997996,3684.1899999999,8237,2165,11686,3684,0,1,838.0,0,1244309,1241517,21601,21430,0,,9718,5029,5029,3757,2585,7.0,3684,3684,3614,3684,3684,3684,3684.0,9719,9719,3409,2584,2584,23,10045,137,1549208353.331932,9719,9719,5029,5029,3613,3758,0,0,155208,164352.0,0,3684.0,3684.0,3615.0,3684.0,3684.1899999999,3684.0,10182,8570,35.4865424431,0,1201150,,,,,,0,392723,9200,0.56,0.86,0.29,107.21700000000001,3704.552,9282.759,3704.554,9282.759,,13538.0,0.23,0.82,9719,9719,9719,0,-1,-1,1,3700,96,94,96,90,1,5,99999,1,97,97,-1,100,-1,-1,100,100,-1,0,0,52,0,1,0,17102,0,3463,3463,9200,9200,9200,9200,9200,9000,9000,1549208329,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190203_EJ_0210e473dde07ee67471a020159cb197,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190203_EJ_0210e473dde07ee67471a020159cb197,,https://www.flipkart.com/,VM04-03-192.168.10.91,https://www.flipkart.com/,3,2,flipkart-home,5,2019,200,Test Complete,18.1
24,4705,,3391,,3391.9750000004997,3391.9750000004997,7564,2267,11457,3391,0,1,872.0,0,1269389,1266597,21787,21616,0,,9176,4705,4705,3824,2279,7.0,3391,3391,3328,3391,3391,3391,3391.0,9176,9176,3569,2278,2278,23,9535,100,1549252425.0281858,9176,9176,4705,4705,3657,3824,0,0,172284,183325.0,0,3392.0,3392.0,3328.0,3392.0,3391.9750000004997,3392.0,9635,7649,32.7342747112,0,1226480,,,,,,0,415755,9300,0.56,0.86,,101.775,3672.658,9465.756,3672.66,,,18480.0,0.23,0.82,9177,9176,9176,0,-1,-1,1,3400,97,95,97,91,1,5,99999,1,97,97,-1,100,-1,-1,100,100,-1,-1,0,54,0,1,0,16482,0,3192,3192,9000,8500,8500,8600,9000,9000,9000,1549252479,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190204_47_408957cf41b6e50925a45f284b14da35,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190204_47_408957cf41b6e50925a45f284b14da35,,https://www.flipkart.com/,VM01-03-192.168.10.61,https://www.flipkart.com/,3,2,flipkart-home,5,2019,200,Test Complete,18.1
24,5140,,3714,,3714.4399999997,3714.4399999997,8169,2231,14158,3714,0,1,869.0,0,1332658,1247534,22109,21596,0,5824.0,9887,5139,5139,3961,2666,12.0,3714,3714,3659,3714,3714,3714,3714.0,9887,9887,3528,2666,2666,23,12214,162,1549296541.073138,9887,9887,5140,5140,3671,3961,0,0,131361,162948.0,0,3714.0,3714.0,3659.0,3714.0,3714.4399999997,3714.0,12376,8979,31.464611072199997,0,1289516,,,,,,0,481478,12800,0.56,0.86,0.23,142.5385,3167.177,8733.207,3167.179,28233.752999999997,,12696.0,0.23,0.82,9888,9887,9887,0,-1,-1,1,3700,99,95,99,93,1,5,99999,1,96,96,-1,100,-1,-1,100,100,-1,0,0,53,0,1,0,20266,0,3527,3527,12800,8900,8900,11900,12800,9000,9000,1549296532,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190204_6Y_41ed745e1e15d0bae9c4a80599053759,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190204_6Y_41ed745e1e15d0bae9c4a80599053759,,https://www.flipkart.com/,VM02-03-192.168.10.71,https://www.flipkart.com/,4,2,flipkart-home,6,2019,200,Test Complete,18.1
24,5342,,3931,,3931.8950000015,3931.8950000015,8500,2285,13834,3931,0,1,855.0,0,1349419,1264295,22280,21767,0,,10090,5342,5342,3990,2715,31.0,3931,3931,3872,3931,3931,3931,3931.0,10090,10090,3562,2714,2714,23,12479,190,1549300404.739426,10090,10090,5342,5342,3674,3990,0,0,129951,161985.0,0,3932.0,3932.0,3873.0,3932.0,3931.8950000015,3932.0,12669,10890,37.5906109769,0,1306186,,,,,,0,494882,13100,0.56,0.86,,161.6745,3322.696,9302.679,3322.698,,,18354.0,0.23,0.82,10090,10090,10090,0,-1,-1,1,3900,100,96,100,94,1,5,99999,1,96,96,-1,100,-1,-1,100,100,-1,0,0,54,0,1,0,21242,0,3725,3725,13100,9300,9300,12300,13100,9000,9000,1549300463,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190204_CE_6a22ab8d0a1315c9ae14910d12ee3c08,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190204_CE_6a22ab8d0a1315c9ae14910d12ee3c08,,https://www.flipkart.com/,VM03-04-192.168.10.83,https://www.flipkart.com/,4,2,flipkart-home,6,2019,200,Test Complete,18.1
24,4608,,3329,,3329.135,3329.1299999983007,7963,2235,11471,3329,0,1,850.0,0,1300728,1297936,21616,21445,0,,9251,4607,4607,3767,2246,14.0,3329,3329,3254,3329,3329,3329,3329.0,9251,9251,3504,2245,2245,24,11317,158,1549340641.208633,9252,9251,4608,4608,3599,3767,0,0,140771,184970.0,0,3329.0,3329.0,3254.0,3329.0,3329.1299999983007,3329.0,11475,6810,29.3661060802,0,1257823,,,,,,0,447949,11500,0.56,0.86,,106.399,3229.6279999999997,8446.093,3229.6290000000013,,,17407.0,0.23,0.82,9252,9251,9252,0,-1,-1,1,3300,97,94,97,90,1,6,99999,1,97,97,-1,100,-1,-1,100,100,-1,0,0,53,0,1,0,16659,0,3119,3119,11500,8500,11500,11500,11500,9000,9000,1549340680,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190205_MK_e00277143535631faade70327b44847d,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190205_MK_e00277143535631faade70327b44847d,,https://www.flipkart.com/,VM02-06-192.168.10.74,https://www.flipkart.com/,4,2,flipkart-home,6,2019,200,Test Complete,18.1
24,5374,,3967,,3967.4449999984004,3967.4399999985,8823,2209,13811,3967,0,1,812.0,0,1396071,1325650,21842,20074,0,,9770,5374,5374,4061,2618,11.0,3967,3967,3879,3967,3967,3967,3967.0,9771,9770,3464,2617,2617,23,12453,184,1549384753.7206712,9771,9771,5374,5374,3601,4062,0,0,133877,175304.0,0,3967.0,3967.0,3880.0,3967.0,3967.4399999985,3967.0,12637,10770,36.360567184299995,0,1352967,,,,,,0,509612,13100,0.56,0.86,,64.3118,3309.551,9158.833,3309.552,,,19672.0,0.23,0.82,9771,9771,9771,0,-1,-1,1,4000,97,92,97,91,1,5,99999,1,96,96,-1,100,-1,-1,100,100,-1,0,0,48,0,1,0,20571,0,3636,3636,13100,12200,12200,12300,13100,9000,9000,1549384797,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190205_JX_33192b5621cc8763c491794d56aa6d56,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190205_JX_33192b5621cc8763c491794d56aa6d56,,https://www.flipkart.com/,VM02-06-192.168.10.74,https://www.flipkart.com/,5,2,flipkart-home,6,2019,200,Test Complete,18.1
24,5277,,3765,,3765.1000000042,3765.0950000025,8215,2190,13451,3765,0,1,822.0,0,1372367,1286017,21943,21430,0,,9616,5276,5276,3757,2601,21.0,3765,3765,3703,3765,3765,3765,3765.0,9617,9616,3413,2600,2600,23,12062,158,1549428829.269218,9617,9617,5277,5276,3566,3757,0,0,136826,173154.0,0,3765.0,3765.0,3704.0,3765.0,3765.0950000025,3765.0,12220,8329,29.362002114899997,0,1329262,,,,,,0,486761,12600,0.56,0.86,,44.2333333333,3288.265,8905.436,3288.2659999999996,,,18504.0,0.23,0.82,9617,9617,9617,0,-1,-1,1,3800,98,94,98,92,1,5,99999,1,96,96,-1,100,-1,-1,100,100,-1,0,0,52,0,1,0,20047,0,3571,3571,12600,8800,8800,11900,12600,9000,9000,1549428882,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190206_PA_63dbcbf2e230a2856cb0b600a86c2c91,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190206_PA_63dbcbf2e230a2856cb0b600a86c2c91,,https://www.flipkart.com/,VM03-03-192.168.10.82,https://www.flipkart.com/,5,2,flipkart-home,6,2019,200,Test Complete,18.1
