data.average.firstView,data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.FirstPaintedHero,data.average.firstView.LastInteractive,data.average.firstView.LastPaintedHero,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.heroElementTimes.BackgroundImage,data.average.firstView.heroElementTimes.FirstPaintedHero,data.average.firstView.heroElementTimes.Heading,data.average.firstView.heroElementTimes.Image,data.average.firstView.heroElementTimes.LastPaintedHero,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.max-potential-fid,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.userTime,data.average.firstView.userTime.optimizely_blockBegin,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testRuns,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
,24.0,7191.0,,5411.0,,5411.500000002,5411.4000000009,6445.0,3411.0,9688.0,7191.0,0.0,1.0,871.0,0.0,1690855.0,1688531.0,85209.0,83587.0,0.0,,12500.0,7190.0,7074.0,7074.0,3420.0,7.0,5411.0,6223.0,4940.0,6800.0,6800.0,5411.0,5411.0,12529.0,12500.0,3774.0,3419.0,3419.0,35.0,15403.0,0.0,1548097083.217428,12500.0,12500.0,7191.0,7074.0,4506.0,7074.0,0.0,0.0,140998.0,185777.0,2.0,5411.0,6224.0,4940.0,6800.0,5411.4000000009,5411.0,15403.0,9859.0,32.190662748899996,235542.0,1391785.0,,,,,,15306.0,276755.0,7700.0,0.94,0.71,0.09,19.7918536585,6485.736,12896.038999999999,11084.962,16411.023,,9474.0,0.23,0.8,12529.0,12500.0,12500.0,0.0,-1.0,-1.0,1.0,5500.0,214.0,164.0,214.0,167.0,0.0,47.0,0.0,1.0,43.0,95.0,-1.0,95.0,-1.0,-1.0,84.0,100.0,-1.0,100.0,0.0,68.0,0.0,1.0,0.0,21801.0,0.0,4906.0,4906.0,7700.0,6700.0,6700.0,6700.0,7500.0,9000,9000,1548097096,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190121_EC_211b9cc0f446439ed9c1df6e16282890,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190121_EC_211b9cc0f446439ed9c1df6e16282890,,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,VM02-06-192.168.10.74,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,21,1,freshdirect-browse,4,2019,200,Test Complete,18.1
,24.0,6524.0,,4459.0,,4459.400000007,4459.400000007,5511.0,2229.0,9018.0,,0.0,1.0,873.0,0.0,1714721.0,1713004.0,86286.0,83962.0,0.0,,12105.0,6524.0,6392.0,6392.0,2239.0,17.0,4459.0,5295.0,3776.0,6386.0,6386.0,4459.0,4459.0,12169.0,12105.0,2595.0,2238.0,2238.0,37.0,15438.0,0.0,1548140858.85712,12106.0,12105.0,6524.0,6393.0,4527.0,6392.0,0.0,0.0,129814.0,173433.0,2.0,4459.0,5296.0,3776.0,6387.0,4459.400000007,4459.0,15438.0,12009.0,40.1806624289,265001.0,1422589.0,,,,,,15306.0,272232.0,7100.0,0.94,0.71,0.13,104.605,6076.228,12795.225,10019.360999999999,12795.225,,8654.0,0.23,0.8,12169.0,12105.0,12106.0,0.0,-1.0,-1.0,1.0,4600.0,217.0,166.0,217.0,173.0,0.0,44.0,0.0,1.0,43.0,94.0,-1.0,95.0,-1.0,-1.0,82.0,100.0,-1.0,100.0,0.0,68.0,0.0,1.0,0.0,22467.0,0.0,3708.0,3708.0,7100.0,5800.0,5800.0,5800.0,6500.0,9000,9000,1548140873,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190122_XS_11f06a4e9bbe3d5e8acccc52b61424c6,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190122_XS_11f06a4e9bbe3d5e8acccc52b61424c6,,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,VM02-02-192.168.10.70,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,22,1,freshdirect-browse,4,2019,200,Test Complete,18.1
,24.0,7105.0,,5007.0,,5007.6000000008,5007.6000000008,6004.0,2602.0,9733.0,,0.0,1.0,879.0,0.0,1689717.0,1359419.0,85918.0,68127.0,0.0,,7885.0,7104.0,6960.0,6960.0,2609.0,7.0,5007.0,5940.0,4453.0,6580.0,6580.0,5007.0,5007.0,7886.0,7886.0,2964.0,2608.0,2608.0,35.0,13318.0,0.0,1548170143.670571,7886.0,7886.0,7105.0,6961.0,4543.0,6961.0,0.0,0.0,157681.0,257270.0,2.0,5008.0,5940.0,4453.0,6581.0,5007.6000000008,5008.0,13318.0,10540.0,39.743589743600005,235542.0,1394054.0,,,,,,15306.0,278135.0,7600.0,0.84,0.71,0.13,126.956,6324.882,12911.845,9860.528,12911.844999996201,,8686.0,0.23,0.8,7887.0,7886.0,7886.0,0.0,-1.0,-1.0,1.0,5000.0,181.0,106.0,181.0,154.0,0.0,27.0,0.0,1.0,43.0,93.0,-1.0,95.0,-1.0,-1.0,84.0,100.0,-1.0,100.0,0.0,68.0,0.0,1.0,0.0,19846.0,0.0,4418.0,4418.0,7600.0,6300.0,6300.0,6300.0,7500.0,9000,9000,1548170168,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190122_55_eedecb45bb5db194e7b39e4e1a899796,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190122_55_eedecb45bb5db194e7b39e4e1a899796,,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,VM02-05-192.168.10.73,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,22,1,freshdirect-browse,4,2019,200,Test Complete,18.1
,24.0,6334.0,,4621.0,,4621.8000000081,4621.8000000081,5490.0,2615.0,8948.0,,0.0,1.0,884.0,0.0,1502366.0,1500729.0,90063.0,87671.0,0.0,,11461.0,6334.0,6215.0,6215.0,2626.0,23.0,4621.0,5219.0,4068.0,6645.0,6645.0,4621.0,4621.0,11514.0,11461.0,2999.0,2624.0,2624.0,37.0,14725.0,0.0,1548229018.460243,11461.0,11461.0,6334.0,6215.0,4497.0,6215.0,0.0,0.0,124059.0,169650.0,2.0,4622.0,5220.0,4068.0,6646.0,4621.8000000081,4622.0,14725.0,12139.0,39.6732026144,22053.0,1184960.0,,,,,,33817.0,298784.0,6900.0,0.94,0.71,0.17,19.356081081099997,6029.648,11392.745,9559.061,11392.745,,8194.0,0.23,0.8,11514.0,11461.0,11461.0,0.0,-1.0,-1.0,1.0,4600.0,215.0,165.0,215.0,171.0,0.0,44.0,0.0,1.0,43.0,94.0,-1.0,89.0,-1.0,-1.0,99.0,100.0,-1.0,87.0,0.0,67.0,0.0,1.0,0.0,21236.0,0.0,4035.0,4035.0,6900.0,5800.0,5800.0,5800.0,6700.0,9000,9000,1548229033,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190123_ZN_50aad183427b73348b06c35da1678bcf,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190123_ZN_50aad183427b73348b06c35da1678bcf,,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,VM03-07-192.168.10.86,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,23,1,freshdirect-browse,4,2019,200,Test Complete,18.1
,24.0,6821.0,,5117.0,,5117.9999999949,5117.9999999949,6041.0,3183.0,9552.0,6821.0,0.0,1.0,898.0,0.0,1537623.0,1147230.0,89829.0,71397.0,0.0,,7857.0,6820.0,6696.0,6695.0,3194.0,19.0,5117.0,5828.0,4645.0,6334.0,6334.0,5117.0,5117.0,7858.0,7857.0,3553.0,3193.0,3193.0,36.0,14807.0,0.0,1548273118.347369,7858.0,7858.0,6821.0,6696.0,4490.0,6696.0,0.0,0.0,132280.0,245396.0,2.0,5118.0,5829.0,4646.0,6335.0,5117.9999999949,5118.0,14807.0,11960.0,38.8437804482,80157.0,1240860.0,,,,,,15306.0,275032.0,7200.0,0.94,0.71,0.1,17.9245254237,6535.75,11322.881000000001,9672.136999999999,19466.464,,8512.0,0.23,0.8,7859.0,7858.0,7858.0,0.0,-1.0,-1.0,1.0,5100.0,182.0,105.0,182.0,156.0,0.0,26.0,0.0,1.0,43.0,94.0,-1.0,95.0,-1.0,-1.0,94.0,100.0,-1.0,100.0,0.0,67.0,0.0,1.0,0.0,21323.0,0.0,4615.0,4615.0,7200.0,6300.0,6300.0,6300.0,7100.0,9000,9000,1548273141,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190123_8X_4df6beabeb3aeae22f883fcf0dcbdf33,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190123_8X_4df6beabeb3aeae22f883fcf0dcbdf33,,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,VM01-01-192.168.10.43,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,23,1,freshdirect-browse,4,2019,200,Test Complete,18.1
,24.0,6676.0,,4880.0,,4880.5999999968,4880.5999999968,5784.0,2828.0,9332.0,,0.0,1.0,880.0,0.0,1480231.0,1150030.0,89067.0,71237.0,0.0,,7497.0,6676.0,6540.0,6540.0,2844.0,13.0,4880.0,5597.0,4316.0,6244.0,6244.0,4880.0,4880.0,7498.0,7497.0,3192.0,2840.0,2840.0,35.0,12903.0,0.0,1548317240.493476,7497.0,7497.0,6676.0,6541.0,4505.0,6540.0,0.0,0.0,146921.0,246311.0,2.0,4881.0,5598.0,4317.0,6245.0,4880.5999999968,4881.0,12903.0,10339.0,39.0041493776,22052.0,1185229.0,,,,,,15306.0,277626.0,7100.0,0.94,0.71,0.11,24.9298518519,6197.333000000001,14441.065,9786.635,14441.0649999924,,8642.0,0.23,0.8,7499.0,7497.0,7497.0,0.0,-1.0,-1.0,1.0,4900.0,175.0,105.0,175.0,152.0,0.0,23.0,0.0,1.0,43.0,94.0,-1.0,95.0,-1.0,-1.0,99.0,100.0,-1.0,100.0,0.0,67.0,0.0,1.0,0.0,19271.0,0.0,4279.0,4279.0,7100.0,6000.0,6000.0,6000.0,7000.0,9000,9000,1548317234,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190124_T2_6199264aa15dd3d09355816b94a66180,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190124_T2_6199264aa15dd3d09355816b94a66180,,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,VM04-04-192.168.10.92,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,24,1,freshdirect-browse,4,2019,200,Test Complete,18.1
,24.0,6060.0,,4251.0,,4251.1999999997,4251.1999999997,5320.0,2425.0,8797.0,,0.0,1.0,870.0,0.0,1484538.0,1154077.0,89844.0,72009.0,0.0,,6952.0,6060.0,5947.0,5947.0,2433.0,12.0,4251.0,4978.0,3786.0,5480.0,5480.0,4251.0,4251.0,6953.0,6952.0,2783.0,2433.0,2433.0,34.0,12776.0,0.0,1548361340.935982,6953.0,6953.0,6060.0,5947.0,4516.0,5947.0,0.0,0.0,143419.0,254875.0,2.0,4251.0,4978.0,3786.0,5480.0,4251.1999999997,4251.0,12776.0,9220.0,36.3708086785,22054.0,1180218.0,,,,,,15306.0,286686.0,6400.0,0.94,0.71,0.14,18.091528301900002,6437.9609999999975,12378.433,9714.449,12378.433000001001,,8561.0,0.23,0.8,6954.0,6953.0,6953.0,0.0,-1.0,-1.0,1.0,4200.0,182.0,105.0,182.0,157.0,0.0,25.0,0.0,1.0,43.0,95.0,-1.0,95.0,-1.0,-1.0,99.0,100.0,-1.0,100.0,0.0,67.0,0.0,1.0,0.0,18662.0,0.0,3756.0,3756.0,6400.0,5500.0,6400.0,6400.0,6400.0,9000,9000,1548361333,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190124_18_11a2f2cda51eaaa6c4f6e0321f89c0de,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190124_18_11a2f2cda51eaaa6c4f6e0321f89c0de,,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,VM04-04-192.168.10.92,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,24,1,freshdirect-browse,4,2019,200,Test Complete,18.1
,24.0,6222.0,,4508.0,,4508.2000000111,4508.2000000111,5709.0,2603.0,8735.0,,0.0,1.0,875.0,0.0,1504667.0,1143492.0,88500.0,70669.0,0.0,,7077.0,6222.0,6092.0,6091.0,2615.0,16.0,4508.0,5336.0,4063.0,6755.0,6755.0,4508.0,4508.0,7079.0,7077.0,2866.0,2614.0,2614.0,32.0,12630.0,0.0,1548405421.403474,7078.0,7078.0,6222.0,6092.0,4507.0,6092.0,0.0,0.0,150061.0,255528.0,2.0,4508.0,5336.0,4063.0,6756.0,4508.2000000111,4508.0,12630.0,9819.0,38.2249902686,51747.0,1197601.0,,,,,,15306.0,288333.0,6900.0,0.94,0.71,0.14,196.9675,6177.555,12469.086000000001,9459.87,12469.086000000001,,8717.0,0.23,0.8,7079.0,7078.0,7078.0,0.0,-1.0,-1.0,1.0,4500.0,179.0,102.0,179.0,153.0,0.0,26.0,0.0,1.0,44.0,96.0,-1.0,95.0,-1.0,-1.0,96.0,100.0,-1.0,100.0,0.0,67.0,0.0,1.0,0.0,19402.0,0.0,4021.0,4021.0,6900.0,6900.0,6900.0,6900.0,6900.0,9000,9000,1548405432,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190125_ZT_5122530c92f85c78184f4ab8cf96fd9d,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190125_ZT_5122530c92f85c78184f4ab8cf96fd9d,,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,VM03-01-192.168.10.79,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,25,1,freshdirect-browse,4,2019,200,Test Complete,18.1
,24.0,6176.0,,4476.0,,4476.2000000046,4476.2000000046,5452.0,2518.0,8732.0,,0.0,1.0,875.0,0.0,1488846.0,1157314.0,88894.0,71058.0,0.0,,7035.0,6175.0,6062.0,6062.0,2526.0,28.0,4476.0,5318.0,3967.0,5689.0,5689.0,4476.0,4476.0,7037.0,7035.0,2887.0,2525.0,2525.0,36.0,12329.0,0.0,1548449542.328091,7036.0,7036.0,6176.0,6063.0,4454.0,6062.0,0.0,0.0,151752.0,256156.0,2.0,4476.0,5319.0,3968.0,5689.0,4476.2000000046,4476.0,12329.0,10409.0,40.6640625,22918.0,1192607.0,,,,,,15306.0,278865.0,6700.0,0.94,0.71,0.14,22.57,5995.76,13041.591,9274.528,13041.591,,8219.0,0.23,0.8,7037.0,7036.0,7036.0,0.0,-1.0,-1.0,1.0,4500.0,174.0,105.0,174.0,152.0,0.0,22.0,0.0,1.0,43.0,93.0,-1.0,95.0,-1.0,-1.0,99.0,100.0,-1.0,100.0,0.0,65.0,0.0,1.0,0.0,18274.0,0.0,3935.0,3935.0,6700.0,5700.0,5700.0,6700.0,6700.0,9000,9000,1548449530,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190125_5G_9e877c66b3191675bff36c6ff1e03647,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190125_5G_9e877c66b3191675bff36c6ff1e03647,,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,VM04-08-192.168.10.96,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,25,1,freshdirect-browse,4,2019,200,Test Complete,18.1
,24.0,6707.0,,4475.0,,4475.599999997899,4475.599999997899,5778.0,2367.0,9400.0,,0.0,1.0,889.0,0.0,1548967.0,1548378.0,88979.0,85943.0,0.0,,10394.0,6706.0,6581.0,6580.0,2378.0,15.0,4475.0,5686.0,3886.0,6237.0,6237.0,4475.0,4475.0,10455.0,10394.0,2734.0,2377.0,2377.0,36.0,11634.0,0.0,1548493633.387595,10395.0,10395.0,6707.0,6582.0,4510.0,6581.0,0.0,0.0,167148.0,192872.0,2.0,4476.0,5686.0,3886.0,6237.0,4475.599999997899,4476.0,11634.0,9710.0,36.1504095309,21223.0,1243496.0,,,,,,15306.0,288912.0,7100.0,0.94,0.71,0.13,118.4795,6024.058000000001,11815.65,9032.896999999999,14321.1740000076,,8533.0,0.23,0.8,10456.0,10395.0,10395.0,0.0,-1.0,-1.0,1.0,4500.0,155.0,150.0,155.0,145.0,0.0,10.0,0.0,1.0,43.0,93.0,-1.0,95.0,-1.0,-1.0,99.0,100.0,-1.0,100.0,0.0,65.0,0.0,1.0,0.0,19640.0,0.0,3851.0,3851.0,7100.0,6000.0,6200.0,7100.0,7100.0,9000,9000,1548493638,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190126_R3_a64feb3da197a424e990a28b26b82c92,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190126_R3_a64feb3da197a424e990a28b26b82c92,,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,VM02-04-192.168.10.72,https://www.freshdirect.com/browse.jsp?pageType=browse&id=gro_canne,26,1,freshdirect-browse,4,2019,200,Test Complete,18.1
