data.average.firstView,data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.FirstPaintedHero,data.average.firstView.LastInteractive,data.average.firstView.LastPaintedHero,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.redirectEnd,data.average.firstView.chromeUserTiming.redirectStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.heroElementTimes.BackgroundImage,data.average.firstView.heroElementTimes.FirstPaintedHero,data.average.firstView.heroElementTimes.Image,data.average.firstView.heroElementTimes.LastPaintedHero,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.max-potential-fid,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.userTime,data.average.firstView.userTime.optimizely_blockBegin,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testRuns,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
,24.0,5759.0,,3958.0,,3958.8000000003003,3958.6999999992,5017.0,2140.0,8416.0,,0.0,1.0,875.0,0.0,1542887.0,1541178.0,64271.0,62935.0,0.0,,11500.0,5758.0,5582.0,5580.0,2147.0,17.0,3958.0,4338.0,3552.0,5295.0,5295.0,3958.0,3958.0,11541.0,11500.0,,,2507.0,2146.0,2146.0,40.0,14496.0,0.0,1548096769.442745,11500.0,11500.0,5759.0,5582.0,5960.0,5581.0,0.0,0.0,124869.0,164655.0,2.0,3959.0,4339.0,3552.0,5295.0,3958.6999999992,3959.0,14496.0,11050.0,38.609364081100004,199269.0,1189478.0,,,,,15306.0,243729.0,6600.0,0.73,0.64,0.18,101.87799999999999,5019.982,11169.743,6961.887,15422.977000003799,,7469.0,0.23,0.8,11542.0,11500.0,11500.0,0.0,-1.0,-1.0,1.0,4000.0,215.0,168.0,215.0,161.0,0.0,54.0,0.0,1.0,39.0,89.0,-1.0,94.0,-1.0,-1.0,84.0,100.0,-1.0,100.0,0.0,46.0,0.0,1.0,0.0,21678.0,0.0,3522.0,3522.0,6600.0,5400.0,5400.0,5400.0,5400.0,9000,9000,1548096793,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190121_YH_54692d02d356f135917655cfad73b9fc,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190121_YH_54692d02d356f135917655cfad73b9fc,,https://www.freshdirect.com/,VM02-02-192.168.10.70,https://www.freshdirect.com/,21,1,freshdirect-home,4,2019,200,Test Complete,18.1
,24.0,5953.0,,3871.0,,3871.8000000008,3871.8000000008,5108.0,1976.0,9419.0,3871.0,0.0,1.0,875.0,0.0,1591088.0,1587443.0,65200.0,63841.0,0.0,,11385.0,5952.0,5770.0,5769.0,1985.0,25.0,3871.0,4172.0,3424.0,5520.0,5520.0,3871.0,3871.0,11421.0,11385.0,,,2344.0,1983.0,1983.0,44.0,14392.0,0.0,1548140857.537176,11385.0,11385.0,5953.0,5770.0,5508.0,5770.0,0.0,0.0,128148.0,168715.0,2.0,3872.0,4172.0,3424.0,5521.0,3871.8000000008,3872.0,14392.0,13249.0,46.622097114700004,228727.0,1243252.0,,,,,15306.0,237487.0,6800.0,0.73,0.64,0.16,129.441,5328.438,11580.84,7152.5080000000025,15556.188,,7585.0,0.23,0.8,11421.0,11385.0,11385.0,0.0,-1.0,-1.0,1.0,3900.0,215.0,167.0,215.0,164.0,0.0,51.0,0.0,1.0,38.0,86.0,-1.0,94.0,-1.0,-1.0,82.0,100.0,-1.0,100.0,0.0,45.0,0.0,1.0,0.0,21011.0,0.0,3392.0,3392.0,6800.0,5600.0,5600.0,5600.0,6500.0,9000,9000,1548140878,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190122_24_7822034a84844a28dfcc8f9542434aa7,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190122_24_7822034a84844a28dfcc8f9542434aa7,,https://www.freshdirect.com/,VM02-04-192.168.10.72,https://www.freshdirect.com/,22,1,freshdirect-home,4,2019,200,Test Complete,18.1
,24.0,6272.0,,4343.0,,4343.4999999990005,4343.4999999990005,5495.0,2186.0,9517.0,4343.0,0.0,1.0,879.0,0.0,1538029.0,1537711.0,64628.0,63272.0,0.0,8275.0,43950.0,6271.0,6037.0,6037.0,2196.0,13.0,4343.0,4515.0,3725.0,5697.0,5697.0,4343.0,4343.0,43984.0,43951.0,,,2594.0,2196.0,2195.0,42.0,44934.0,0.0,1548170143.583806,43951.0,43951.0,6272.0,6038.0,6077.0,6037.0,0.0,0.0,35978.0,36818.0,2.0,4344.0,4516.0,3725.0,5697.0,4343.4999999990005,4344.0,44934.0,17850.0,20.5906102203,199277.0,1197298.0,,,,,15306.0,233829.0,7100.0,0.73,0.64,0.17,113.9693333333,5787.696,11767.758999999998,7666.706,11767.758999999998,,8353.0,0.23,0.8,43985.0,43951.0,43951.0,0.0,-1.0,-1.0,1.0,4400.0,226.0,224.0,226.0,167.0,0.0,59.0,0.0,1.0,37.0,87.0,-1.0,94.0,-1.0,-1.0,84.0,100.0,-1.0,100.0,0.0,45.0,0.0,1.0,0.0,57806.0,0.0,3679.0,3679.0,7100.0,6000.0,6000.0,6000.0,7100.0,9000,9000,1548170214,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190122_1R_18a35568d3c861e8ddb75d9b5ae0705b,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190122_1R_18a35568d3c861e8ddb75d9b5ae0705b,,https://www.freshdirect.com/,VM02-02-192.168.10.70,https://www.freshdirect.com/,22,1,freshdirect-home,4,2019,200,Test Complete,18.1
,24.0,5926.0,,4197.0,,4197.0999999976,4197.0999999976,5424.0,2406.0,8914.0,,0.0,1.0,,0.0,1352319.0,1350542.0,68174.0,66561.0,0.0,,11889.0,5926.0,5923.0,5922.0,2415.0,1432.0,4197.0,4553.0,3834.0,5674.0,5674.0,4197.0,4197.0,11937.0,11889.0,1432.0,13.0,2779.0,2414.0,2414.0,44.0,15074.0,0.0,1548229037.233008,11890.0,11890.0,5926.0,5923.0,5937.0,5922.0,0.0,0.0,106750.0,142402.0,3.0,4197.0,4553.0,3835.0,5674.0,4197.0999999976,4197.0,15074.0,10250.0,34.523408555100005,22058.0,1008663.0,,,,,15306.0,236771.0,6600.0,0.73,0.71,0.2,40.4150666667,5089.6179999999995,9918.638,7124.858,14429.122,,7020.0,0.23,0.73,11938.0,11890.0,11890.0,0.0,-1.0,-1.0,1.0,4200.0,224.0,172.0,224.0,163.0,0.0,61.0,0.0,1.0,37.0,87.0,-1.0,94.0,-1.0,-1.0,98.0,100.0,-1.0,100.0,0.0,44.0,0.0,1.0,0.0,21694.0,0.0,3804.0,3804.0,5900.0,5900.0,5900.0,5900.0,5900.0,9000,9000,1548229044,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190123_JY_5614597ac30d680d90f59dc8579b3ef4,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190123_JY_5614597ac30d680d90f59dc8579b3ef4,,https://www.freshdirect.com/,VM04-04-192.168.10.92,https://www.freshdirect.com/,23,1,freshdirect-home,4,2019,200,Test Complete,18.1
,24.0,6550.0,,4832.0,,4832.0999999996,4832.0999999996,5924.0,2774.0,9214.0,,0.0,1.0,,0.0,1348232.0,1346758.0,67402.0,65792.0,0.0,,12048.0,6550.0,6546.0,6546.0,2784.0,1596.0,4832.0,4992.0,4183.0,6296.0,6296.0,4832.0,4832.0,12083.0,12048.0,1596.0,26.0,3121.0,2783.0,2783.0,43.0,14923.0,0.0,1548317239.569301,12048.0,12048.0,6550.0,6546.0,5856.0,6546.0,0.0,0.0,110974.0,145218.0,3.0,4832.0,4993.0,4183.0,6297.0,4832.0999999996,4832.0,14923.0,11139.0,37.9040489963,22052.0,1006883.0,,,,,15306.0,234764.0,7200.0,0.73,0.71,0.19,52.6958,5362.307,9935.408000000001,7239.344,14263.928999999998,,7354.0,0.23,0.73,12083.0,12048.0,12048.0,0.0,-1.0,-1.0,1.0,4800.0,215.0,168.0,215.0,158.0,0.0,57.0,0.0,1.0,37.0,88.0,-1.0,94.0,-1.0,-1.0,98.0,100.0,-1.0,100.0,0.0,43.0,0.0,1.0,0.0,21591.0,0.0,4150.0,4150.0,6700.0,6700.0,6700.0,6700.0,6700.0,9000,9000,1548317246,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190124_C8_56549a8a27c9f5d8b420b9f24e5a86ed,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190124_C8_56549a8a27c9f5d8b420b9f24e5a86ed,,https://www.freshdirect.com/,VM04-02-192.168.10.90,https://www.freshdirect.com/,24,1,freshdirect-home,4,2019,200,Test Complete,18.1
,24.0,6148.0,,4076.0,,4076.0999999984,4076.0999999984,5555.0,2211.0,9665.0,4076.0,0.0,1.0,,1.0,1486802.0,1485026.0,66537.0,64925.0,0.0,,12097.0,6147.0,6140.0,6139.0,2223.0,1426.0,4076.0,4474.0,3653.0,5804.0,5804.0,4076.0,4076.0,12134.0,12097.0,1426.0,13.0,2567.0,2221.0,2221.0,41.0,15111.0,0.0,1548361330.867475,12097.0,12097.0,6148.0,6141.0,6321.0,6140.0,0.0,0.0,115255.0,150215.0,3.0,4076.0,4475.0,3653.0,5805.0,4076.0999999984,4076.0,15111.0,11979.0,39.880159787,22054.0,997812.0,,,,,15306.0,382016.0,7200.0,0.76,0.71,0.18,41.46325,5322.695,10500.205,7533.279,14734.438,,7339.0,0.23,0.73,12135.0,12098.0,12097.0,0.0,-1.0,-1.0,1.0,4200.0,215.0,168.0,215.0,161.0,0.0,54.0,0.0,1.0,38.0,89.0,-1.0,96.0,-1.0,-1.0,98.0,100.0,-1.0,100.0,0.0,43.0,0.0,1.0,0.0,22795.0,0.0,3622.0,3622.0,5900.0,5900.0,5900.0,5900.0,5900.0,9000,9000,1548361359,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190124_95_de32d2c16faac47b6a521193b3b4c215,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190124_95_de32d2c16faac47b6a521193b3b4c215,,https://www.freshdirect.com/,VM02-02-192.168.10.70,https://www.freshdirect.com/,24,1,freshdirect-home,4,2019,200,Test Complete,18.1
,24.0,5979.0,,4106.0,,4106.5999999992,4106.5999999992,5751.0,2185.0,9086.0,,0.0,1.0,,1.0,1536998.0,1535296.0,69534.0,67653.0,0.0,,12233.0,5978.0,5975.0,5974.0,2193.0,1432.0,4106.0,4657.0,3677.0,5690.0,5690.0,4106.0,4106.0,12270.0,12234.0,1432.0,14.0,2562.0,2192.0,2192.0,44.0,15244.0,0.0,1548405441.338361,12234.0,12234.0,5979.0,5975.0,6646.0,5974.0,0.0,0.0,117696.0,152780.0,3.0,4107.0,4658.0,3677.0,5690.0,4106.5999999992,4107.0,15244.0,11579.0,38.230439088800004,51747.0,1043689.0,,,,,15306.0,385366.0,6700.0,0.76,0.71,0.16,47.2279,5677.743,10797.17,7666.063,15556.2020000153,,7617.0,0.23,0.73,12270.0,12234.0,12234.0,0.0,-1.0,-1.0,1.0,4200.0,222.0,176.0,222.0,166.0,0.0,56.0,0.0,1.0,37.0,87.0,-1.0,97.0,-1.0,-1.0,96.0,100.0,-1.0,100.0,0.0,45.0,0.0,1.0,0.0,22657.0,0.0,3646.0,3646.0,6700.0,6700.0,6700.0,6700.0,6700.0,9000,9000,1548405455,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190125_GR_0b45c2658aa19e301296834275e5dfee,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190125_GR_0b45c2658aa19e301296834275e5dfee,,https://www.freshdirect.com/,VM04-03-192.168.10.91,https://www.freshdirect.com/,25,1,freshdirect-home,4,2019,200,Test Complete,18.1
,24.0,5927.0,,4300.0,,4300.4999999976,4300.4999999976,5250.0,2281.0,8634.0,,0.0,1.0,,1.0,1487161.0,1485368.0,65976.0,64363.0,0.0,,11535.0,5927.0,5922.0,5922.0,2291.0,1465.0,4300.0,4466.0,3673.0,5615.0,5615.0,4300.0,4300.0,11570.0,11536.0,1465.0,25.0,2640.0,2290.0,2290.0,42.0,14623.0,0.0,1548449541.735507,11536.0,11536.0,5927.0,5922.0,6371.0,5922.0,0.0,0.0,120495.0,160493.0,3.0,4300.0,4467.0,3673.0,5616.0,4300.4999999976,4300.0,14623.0,12380.0,41.363180755100004,22917.0,1001869.0,,,,,15306.0,378358.0,6600.0,0.76,0.71,0.19,41.8135714286,5451.223000000001,10150.997,6922.297,14678.475,,7114.0,0.23,0.73,11570.0,11536.0,11536.0,0.0,-1.0,-1.0,1.0,4300.0,214.0,166.0,214.0,161.0,0.0,53.0,0.0,1.0,38.0,88.0,-1.0,96.0,-1.0,-1.0,98.0,100.0,-1.0,100.0,0.0,42.0,0.0,1.0,0.0,21295.0,0.0,3635.0,3635.0,5700.0,5700.0,5700.0,5700.0,5700.0,9000,9000,1548449550,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190125_33_ac72889abee74feed87eacb0851f4b57,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190125_33_ac72889abee74feed87eacb0851f4b57,,https://www.freshdirect.com/,VM04-01-192.168.10.80,https://www.freshdirect.com/,25,1,freshdirect-home,4,2019,200,Test Complete,18.1
,24.0,6397.0,,4497.0,,4497.6000000024,4497.6000000024,5670.0,2500.0,9421.0,,0.0,1.0,,1.0,1542367.0,1540696.0,68382.0,66768.0,0.0,,12279.0,6397.0,6393.0,6393.0,2509.0,1580.0,4497.0,4833.0,3954.0,6093.0,6093.0,4497.0,4497.0,12310.0,12279.0,1580.0,14.0,2943.0,2506.0,2506.0,43.0,15250.0,0.0,1548493622.889019,12280.0,12279.0,6397.0,6393.0,6640.0,6393.0,0.0,0.0,120969.0,157535.0,3.0,4498.0,4833.0,3954.0,6094.0,4497.6000000024,4498.0,15250.0,10729.0,35.9223300971,22917.0,1054529.0,,,,,15306.0,381665.0,7300.0,0.76,0.71,0.17,39.4280833333,5264.863,10847.612,7563.093000000003,15309.469,,7564.0,0.23,0.73,12310.0,12279.0,12280.0,0.0,-1.0,-1.0,1.0,4500.0,219.0,173.0,219.0,163.0,0.0,56.0,0.0,1.0,37.0,87.0,-1.0,96.0,-1.0,-1.0,98.0,100.0,-1.0,100.0,0.0,44.0,0.0,1.0,0.0,21669.0,0.0,3921.0,3921.0,6500.0,6100.0,6100.0,6100.0,6100.0,9000,9000,1548493656,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190126_4W_0e326a2de39b53c65e7c3ddd6d09b851,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190126_4W_0e326a2de39b53c65e7c3ddd6d09b851,,https://www.freshdirect.com/,VM03-08-192.168.10.87,https://www.freshdirect.com/,26,1,freshdirect-home,4,2019,200,Test Complete,18.1
,24.0,6200.0,,4487.0,,4487.6000000004,4487.6000000004,5494.0,2554.0,9678.0,4487.0,0.0,1.0,,1.0,1532963.0,1531624.0,66780.0,65168.0,0.0,,11302.0,6200.0,6196.0,6196.0,2564.0,1724.0,4487.0,4683.0,3984.0,5852.0,5852.0,4487.0,4487.0,11334.0,11302.0,1724.0,18.0,2942.0,2563.0,2562.0,43.0,14290.0,0.0,1548537723.16236,11302.0,11302.0,6200.0,6196.0,6499.0,6196.0,0.0,0.0,130620.0,175082.0,3.0,4488.0,4683.0,3985.0,5852.0,4487.6000000004,4488.0,14290.0,12470.0,42.5306957708,22919.0,1046941.0,,,,,15306.0,379885.0,6800.0,0.76,0.71,0.2,38.4992857143,5105.628,10388.469000000001,7095.126,14140.203000000001,,7226.0,0.23,0.73,11334.0,11302.0,11302.0,0.0,-1.0,-1.0,1.0,4500.0,211.0,168.0,211.0,155.0,0.0,56.0,0.0,1.0,37.0,87.0,-1.0,96.0,-1.0,-1.0,98.0,100.0,-1.0,100.0,0.0,42.0,0.0,1.0,0.0,21668.0,0.0,3953.0,3953.0,6000.0,6000.0,6000.0,6000.0,6000.0,9000,9000,1548537752,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190126_GD_027238856ba6e3fca5256f0025fc6dcd,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190126_GD_027238856ba6e3fca5256f0025fc6dcd,,https://www.freshdirect.com/,VM03-03-192.168.10.82,https://www.freshdirect.com/,26,1,freshdirect-home,4,2019,200,Test Complete,18.1
