data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.FirstPaintedHero,data.average.firstView.LastInteractive,data.average.firstView.LastPaintedHero,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.heroElementTimes.BackgroundImage,data.average.firstView.heroElementTimes.FirstPaintedHero,data.average.firstView.heroElementTimes.Heading,data.average.firstView.heroElementTimes.Image,data.average.firstView.heroElementTimes.LastPaintedHero,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.max-potential-fid,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.userTime,data.average.firstView.userTime.addthis.render_toolbox,data.average.firstView.userTime.optimizely_blockBegin,data.average.firstView.userTime.optimizely_blockEnd,data.average.firstView.userTime.optimizely_projectJSBegin,data.average.firstView.userTime.optimizely_projectJSEnd,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testRuns,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
24,5528.0,,3850.0,,3850.70000001,3850.70000001,4835,2016,6542.0,,0,1,878.0,1,3531446,3529695,82758,81150,0,,12074,5527,5357,5357,2025,18.0,3850.0,4489.0,3376.0,5168.0,5168.0,3850.0,3850.0,12134,12074,2260,2024.0,2024.0,41,14839.0,0.0,1548096769.971956,12074,12074,5528,5358,3522,5358,0,0,275399,350934.0,2,3851.0,4489.0,3377.0,5168.0,3850.70000001,3851.0,14839,14129,46.6336633663,324020,1851817,,,,,,887735,1405451,6000,0.68,0.64,0.06,30.4335238095,6752.504,14340.306,11223.097,20641.234,,9994.0,0.23,0.73,12135,12074,12074,0,-1,-1,1,3900,224,182,224,188,0,36,0,1,42,94,-1,37,-1,-1,83,100,-1,99,0,51,0,1,0,22560,0,6025,6025.0,3340,,,,6000,5200,6000,6000,6000,9000,9000,1548096783,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190121_85_7da4eba81c72a4b400753dab737f0a07,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190121_85_7da4eba81c72a4b400753dab737f0a07,,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,VM02-04-192.168.10.72,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,21,1,freshdirect-product,4,2019,200,Test Complete,18.1
24,5939.0,,4113.0,,4113.2999999973,4113.2999999973,5139,1941,7045.0,,0,1,879.0,1,2511730,2510057,83409,81868,0,,11914,5938,5699,5698,1948,24.0,4113.0,4798.0,3470.0,5517.0,5517.0,4113.0,4113.0,11975,11914,2237,1948.0,1948.0,42,14905.0,0.0,1548140858.5372698,11915,11915,5939,5699,3537,5699,0,0,193746,251660.0,2,4113.0,4798.0,3470.0,5518.0,4113.2999999973,4113.0,14905,13420,46.03773584899999,353462,1882128,,,,,,15306,357269,6500,0.68,0.64,0.11,65.6868333333,5594.273,13045.577,9480.782,19351.295,,8550.0,0.23,0.73,11975,11915,11915,0,-1,-1,1,4100,228,182,228,189,0,39,0,1,41,93,-1,96,-1,-1,82,100,-1,100,0,50,0,1,0,21790,0,6489,6489.0,3409,,,,6100,5500,5500,5500,6100,9000,9000,1548140868,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190122_TJ_dc70a575a64d2e7690752a5e2bc8f2fb,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190122_TJ_dc70a575a64d2e7690752a5e2bc8f2fb,,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,VM02-03-192.168.10.71,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,22,1,freshdirect-product,4,2019,200,Test Complete,18.1
24,5987.0,,4127.0,,4127.7000000009,4127.7000000009,5092,2234,7067.0,,0,1,874.0,1,2469726,2468039,84119,81970,0,,11405,5987,5719,5719,2242,10.0,4127.0,4785.0,3589.0,6133.0,6133.0,4127.0,4127.0,11553,11406,2476,2241.0,2241.0,43,14843.0,0.0,1548170133.575864,11406,11406,5987,5719,3554,5719,0,0,195870,269084.0,2,4128.0,4785.0,3590.0,6133.0,4127.7000000009,4128.0,14843,13570,46.45669291340001,324000,1853521,,,,,,15306,344938,6400,0.68,0.64,0.11,29.9285263158,5730.431,14885.469,10234.613000000001,14885.469000003799,,9011.0,0.23,0.73,11554,11406,11406,0,-1,-1,1,4100,231,182,231,189,0,42,0,1,41,93,-1,96,-1,-1,83,100,-1,100,0,51,0,1,0,21656,0,6451,6451.0,3558,,,,6100,5300,5300,6100,6100,9000,9000,1548170192,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190122_SX_402f0c239cc9f943f232fe64b287e40c,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190122_SX_402f0c239cc9f943f232fe64b287e40c,,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,VM01-05-192.168.10.63,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,22,1,freshdirect-product,4,2019,200,Test Complete,18.1
24,5933.0,,4294.0,,4294.4999999891,4294.4999999891,5173,2352,8433.0,,0,1,884.0,1,2188820,2027546,85726,81688,0,,10114,5933,5742,5741,2374,13.0,4294.0,4880.0,3773.0,5545.0,5545.0,4294.0,4294.0,10197,10114,2638,2373.0,2373.0,42,13164.0,0.0,1548229029.096482,10114,10114,5933,5742,3464,5741,0,0,202443,261214.0,2,4294.0,4881.0,3774.0,5546.0,4294.4999999891,4294.0,13164,13149,49.436090225600005,22058,1570909,,,,,,15306,346298,6400,0.68,0.64,0.11,79.0783333333,5655.084,17755.439,8758.809000000001,17755.439,,8297.0,0.23,0.73,10197,10114,10114,0,-1,-1,1,4300,207,165,207,176,0,31,0,1,42,93,-1,96,-1,-1,99,100,-1,100,0,47,0,1,0,20438,0,6368,6368.0,3733,,,,6200,5400,5400,5500,6200,9000,9000,1548229031,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190123_55_6b3eeddb1565ad71f7d7801676cdb2e5,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190123_55_6b3eeddb1565ad71f7d7801676cdb2e5,,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,VM02-05-192.168.10.73,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,23,1,freshdirect-product,4,2019,200,Test Complete,18.1
24,7847.0,,4498.0,,4498.4999999997,4498.4999999997,5697,2645,10285.0,4498.0,0,1,907.0,1,2229563,2227772,85063,83478,0,,14023,7847,7696,7695,2653,22.0,4498.0,4938.0,4011.0,7475.0,7475.0,4498.0,4498.0,14099,14023,2880,2653.0,2653.0,41,16854.0,0.0,1548273138.916239,14024,14023,7847,7696,3463,7696,0,0,156912,195779.0,2,4498.0,4938.0,4011.0,7476.0,4498.4999999997,4498.0,16854,13380,39.41089838,80156,1606898,,,,,,15306,347065,8200,0.68,0.64,0.1,27.7478181818,6042.5019999999995,13239.976,9295.785,18177.099,,8464.0,0.23,0.73,14099,14023,14024,0,-1,-1,1,4500,226,181,226,184,0,42,0,1,41,93,-1,96,-1,-1,96,100,-1,100,0,49,0,1,0,25076,0,8265,8265.0,3979,,,,8200,7500,7500,7500,8000,9000,9000,1548273136,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190123_3E_c675d71bd1148d36461cbd099daae22a,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190123_3E_c675d71bd1148d36461cbd099daae22a,,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,VM04-04-192.168.10.92,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,23,1,freshdirect-product,4,2019,200,Test Complete,18.1
24,6147.0,,4094.0,,4094.100000002101,4094.100000002101,5077,2150,7507.0,,0,1,881.0,1,2176553,2174960,85619,84034,0,,12185,6147,5979,5979,2157,4.0,4094.0,4743.0,3607.0,5750.0,5750.0,4094.0,4094.0,12245,12186,2386,2156.0,2156.0,41,15250.0,0.0,1548361330.7480268,12186,12186,6147,5980,3528,5979,0,0,166149,216715.0,2,4094.0,4743.0,3608.0,5751.0,4094.100000002101,4094.0,15250,13039,43.890945809499996,22053,1556116,,,,,,15306,349265,6600,0.68,0.64,0.11,71.4141666667,5598.931,18051.43,8866.739,18051.43,,8445.0,0.23,0.73,12245,12186,12186,0,-1,-1,1,4100,231,182,231,186,0,45,0,1,41,93,-1,96,-1,-1,99,100,-1,100,0,50,0,1,0,22198,0,6728,6728.0,3572,,,,6300,5800,5800,5800,6300,9000,9000,1548361336,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190124_55_2e8ca6662c2b7741a7cf628c55557aed,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190124_55_2e8ca6662c2b7741a7cf628c55557aed,,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,VM02-06-192.168.10.74,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,24,1,freshdirect-product,4,2019,200,Test Complete,18.1
24,6112.0,,4289.0,,4289.3999999942,4289.3999999942,5236,2300,9008.0,,0,1,870.0,1,2209933,2208225,86091,84506,0,,12530,6111,5939,5938,2307,20.0,4289.0,4800.0,3740.0,5739.0,5739.0,4289.0,4289.0,12603,12531,2600,2306.0,2306.0,42,15527.0,0.0,1548405431.6732366,12531,12531,6112,5939,3528,5938,0,0,167077,215836.0,2,4289.0,4800.0,3741.0,5739.0,4289.3999999942,4289.0,15527,14670,46.4828897339,51745,1586327,,,,,,15306,351247,6500,0.68,0.64,0.11,118.47399999999999,5636.249,13625.763,9005.318000000001,17953.453999999998,,8507.0,0.23,0.73,12603,12531,12531,0,-1,-1,1,4300,229,183,229,188,0,41,0,1,41,93,-1,96,-1,-1,97,100,-1,100,0,50,0,1,0,22289,0,6579,6579.0,3708,,,,6400,5700,5700,5700,6400,9000,9000,1548405435,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190125_8Y_2f6708bfc6735e710b0f5a2222dc2d4a,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190125_8Y_2f6708bfc6735e710b0f5a2222dc2d4a,,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,VM02-03-192.168.10.71,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,25,1,freshdirect-product,4,2019,200,Test Complete,18.1
24,,,,,3853.0000000001,3853.0000000001,5046,2074,,,0,1,878.0,1,2183441,2181806,86477,84651,0,,11601,5752,5560,5560,2083,9.0,3853.0,4826.0,3378.0,5883.0,5883.0,3853.0,3853.0,11668,11601,2321,2082.0,2082.0,43,,,1548449541.872417,11601,11602,5752,5561,3521,5561,0,0,173951,229012.0,2,3853.0,4827.0,3378.0,5883.0,3853.0000000001,3853.0,14626,11240,38.8658367911,22917,1560849,,,,,,15306,350830,6100,0.68,0.64,0.11,23.8488055556,5905.927,12530.59,9609.794,17779.006999999998,,8688.0,0.23,0.73,11669,11602,11601,0,-1,-1,1,3900,234,185,234,189,0,45,0,1,41,93,-1,96,-1,-1,99,100,-1,100,0,50,0,1,0,20185,0,6159,6159.0,3350,,,,5900,5300,5300,5900,5900,9000,9000,1548449530,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190125_T0_2875c4561bc499e9afb4c715be54109e,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190125_T0_2875c4561bc499e9afb4c715be54109e,,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,VM04-04-192.168.10.92,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,25,1,freshdirect-product,4,2019,200,Test Complete,18.1
24,5387.0,,3880.0,,3881.0,3880.9,4658,1980,7945.0,,0,1,889.0,1,2232404,2230725,84717,83133,0,,11188,5386,5224,5223,1996,8.0,3880.0,4349.0,3416.0,5004.0,5004.0,3880.0,3880.0,11250,11188,2301,1993.0,1993.0,41,14167.0,0.0,1548493622.966746,11188,11189,5387,5224,3481,5224,0,0,183179,242259.0,2,3881.0,4349.0,3417.0,5005.0,3880.9,3881.0,14167,11779,42.3893486866,22926,1612022,,,,,,15306,348948,5800,0.68,0.64,0.11,85.15925,5838.918000000002,13551.66,8933.351999999999,17716.234,,8462.0,0.23,0.73,11250,11189,11188,0,-1,-1,1,3900,226,179,226,185,0,41,0,1,42,94,-1,96,-1,-1,99,100,-1,100,0,49,0,1,0,20266,0,5807,5807.0,3388,,,,5600,4900,4900,5000,5600,9000,9000,1548493632,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190126_J2_75da1cc2dd8bab40879a0bbf6cd9bf98,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190126_J2_75da1cc2dd8bab40879a0bbf6cd9bf98,,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,VM01-05-192.168.10.63,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,26,1,freshdirect-product,4,2019,200,Test Complete,18.1
24,5899.0,,3966.0,,3966.5000000022997,3966.5000000022997,5084,1999,6804.0,,0,1,876.0,1,2234381,2232908,85960,84373,0,,11677,5899,5712,5712,2006,14.0,3966.0,4746.0,3442.0,5520.0,5520.0,3966.0,3966.0,11736,11677,2220,2005.0,2005.0,42,14541.0,0.0,1548537734.52351,11678,11677,5899,5712,3459,5712,0,0,178151,230696.0,2,3966.0,4747.0,3442.0,5520.0,3966.5000000022997,3966.0,14541,11980,42.064606741599995,22920,1611953,,,,,,15306,351526,6300,0.68,0.64,0.11,31.665380952399996,5759.578,12794.918,9718.993,17735.141,,8723.0,0.23,0.73,11737,11677,11678,0,-1,-1,1,4000,226,180,226,182,0,44,0,1,41,93,-1,96,-1,-1,99,100,-1,100,0,48,0,1,0,21322,0,6269,6269.0,3410,,,,6300,5400,5400,5500,6100,9000,9000,1548537733,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190126_W0_00026c299f60a9111ad694dd569d0019,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190126_W0_00026c299f60a9111ad694dd569d0019,,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,VM02-06-192.168.10.74,https://www.freshdirect.com/pdp.jsp?productId=gro_goya_regular_02&catId=gro_beans_kidney_black,26,1,freshdirect-product,4,2019,200,Test Complete,18.1
