data.average.firstView,data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.FirstPaintedHero,data.average.firstView.LastInteractive,data.average.firstView.LastPaintedHero,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.heroElementTimes.BackgroundImage,data.average.firstView.heroElementTimes.FirstPaintedHero,data.average.firstView.heroElementTimes.Heading,data.average.firstView.heroElementTimes.Image,data.average.firstView.heroElementTimes.LastPaintedHero,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.max-potential-fid,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.userTime,data.average.firstView.userTime.optimizely_blockBegin,data.average.firstView.userTime.optimizely_blockEnd,data.average.firstView.userTime.optimizely_projectJSBegin,data.average.firstView.userTime.optimizely_projectJSEnd,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testRuns,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
,24.0,5242.0,,4290.0,,4290.4999999992,4290.4999999992,5011.0,2412.0,8034.0,,0.0,1.0,878.0,0.0,1664515.0,1333026.0,74141.0,56779.0,0.0,,6183.0,5242.0,5150.0,5150.0,2421.0,12.0,4290.0,4666.0,3803.0,5400.0,5400.0,4290.0,4290.0,6184.0,6183.0,2596.0,2419.0,2419.0,32.0,11295.0,0.0,1548096780.118509,6184.0,6184.0,5242.0,5151.0,3358.0,5150.0,0.0,0.0,187382.0,353400.0,2.0,4291.0,4667.0,3804.0,5400.0,4290.4999999992,4291.0,11295.0,7459.0,32.4912891986,296223.0,1423918.0,,,,,,15306.0,219582.0,9600.0,0.84,0.71,0.16,18.3631451613,5500.366,9519.708,8617.787,14829.301000000001,,8161.0,0.23,0.8,6185.0,6184.0,6184.0,0.0,-1.0,-1.0,1.0,4300.0,154.0,88.0,154.0,133.0,0.0,21.0,0.0,1.0,43.0,95.0,-1.0,94.0,-1.0,-1.0,80.0,100.0,-1.0,100.0,0.0,48.0,0.0,1.0,0.0,16499.0,0.0,3777.0,3777.0,,,,9600.0,5600.0,5600.0,5600.0,5600.0,9000,9000,1548096766,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190121_1P_61ec3caa48a4337812ceac0b2fea3100,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190121_1P_61ec3caa48a4337812ceac0b2fea3100,,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,VM04-05-192.168.10.93,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,21,1,freshdirect-search,4,2019,200,Test Complete,18.1
,24.0,4934.0,,3840.0,,3840.599999995901,3840.599999995901,4675.0,1887.0,7662.0,,0.0,1.0,937.0,0.0,1705907.0,1345426.0,75941.0,57739.0,0.0,,5740.0,4934.0,4832.0,4832.0,1896.0,22.0,3840.0,4212.0,3335.0,5036.0,5036.0,3840.0,3840.0,5741.0,5740.0,2091.0,1895.0,1895.0,33.0,11253.0,0.0,1548140858.709475,5741.0,5740.0,4934.0,4833.0,3414.0,4832.0,0.0,0.0,182138.0,349098.0,2.0,3841.0,4213.0,3336.0,5036.0,3840.599999995901,3841.0,11253.0,8800.0,39.1285015563,331924.0,1461347.0,,,,,,15306.0,225310.0,11300.0,0.84,0.71,0.14,21.9975384615,5569.6730000000025,9625.284,8617.966999999999,15150.1739999847,,8985.0,0.23,0.8,5741.0,5740.0,5741.0,0.0,-1.0,-1.0,1.0,3800.0,158.0,89.0,158.0,137.0,0.0,21.0,0.0,1.0,43.0,95.0,-1.0,94.0,-1.0,-1.0,78.0,100.0,-1.0,100.0,0.0,49.0,0.0,1.0,0.0,16827.0,0.0,3294.0,3294.0,,,,11300.0,5300.0,5300.0,5300.0,5300.0,9000,9000,1548140855,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190122_D4_4a72bbae3bc4756a54a5dca6d79659a2,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190122_D4_4a72bbae3bc4756a54a5dca6d79659a2,,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,VM02-01-192.168.10.69,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,22,1,freshdirect-search,4,2019,200,Test Complete,18.1
,24.0,4999.0,,3889.0,,3889.4,3889.4,4803.0,1917.0,7553.0,,0.0,1.0,876.0,0.0,1686633.0,1356638.0,77568.0,59030.0,0.0,,5841.0,4999.0,4901.0,4901.0,1926.0,15.0,3889.0,4365.0,3437.0,5215.0,5215.0,3889.0,3889.0,5844.0,5841.0,2173.0,1925.0,1925.0,34.0,11371.0,0.0,1548170144.818069,5841.0,5841.0,4999.0,4901.0,3442.0,4901.0,0.0,0.0,178404.0,345728.0,2.0,3889.0,4366.0,3437.0,5215.0,3889.4,3889.0,11371.0,9099.0,39.7033158813,302741.0,1437834.0,,,,,,15306.0,230897.0,9400.0,0.84,0.71,0.22,21.3002,5625.044,9531.222,8709.658000000001,9531.222,,8680.0,0.23,0.8,5844.0,5841.0,5841.0,0.0,-1.0,-1.0,1.0,3900.0,160.0,91.0,160.0,138.0,0.0,22.0,0.0,1.0,43.0,95.0,-1.0,94.0,-1.0,-1.0,79.0,100.0,-1.0,100.0,0.0,48.0,0.0,1.0,0.0,17108.0,0.0,3402.0,3402.0,,,,9400.0,5400.0,5400.0,5400.0,5400.0,9000,9000,1548170159,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190122_1A_afaad07cc80601105544eaf88ac677c1,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190122_1A_afaad07cc80601105544eaf88ac677c1,,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,VM02-08-192.168.10.76,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,22,1,freshdirect-search,4,2019,200,Test Complete,18.1
[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,9000,1548185017,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190122_TY_cb944912af1e568019b258bcdb3a81a9,170,Dulles:Chrome,0,,0,https://www.webpagetest.org/results.php?test=190122_TY_cb944912af1e568019b258bcdb3a81a9,,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,VM04-02-192.168.10.90,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,22,1,freshdirect-search,4,2019,200,Test Complete,18.1
,24.0,5160.0,,3963.0,,3963.9000000025,3963.9000000025,4759.0,1844.0,7832.0,,0.0,1.0,873.0,0.0,1437570.0,1435861.0,81887.0,80166.0,0.0,,10983.0,5160.0,5054.0,5054.0,1853.0,19.0,3963.0,4374.0,3459.0,5293.0,5293.0,3963.0,3963.0,11011.0,10983.0,2047.0,1851.0,1851.0,34.0,14084.0,0.0,1548229018.81884,10983.0,10983.0,5160.0,5054.0,3476.0,5054.0,0.0,0.0,117448.0,157113.0,2.0,3964.0,4375.0,3460.0,5294.0,3963.9000000025,3964.0,14084.0,9909.0,35.0672328379,84687.0,1220391.0,,,,,,15306.0,198134.0,5600.0,0.84,0.71,0.25,22.5543448276,5246.69,8933.362,7940.158,8933.362,,8543.0,0.23,0.8,11011.0,10983.0,10983.0,0.0,-1.0,-1.0,1.0,4000.0,203.0,153.0,203.0,159.0,0.0,44.0,0.0,1.0,43.0,95.0,-1.0,93.0,-1.0,-1.0,94.0,100.0,-1.0,100.0,0.0,52.0,0.0,1.0,0.0,19880.0,0.0,3428.0,3428.0,,,,5600.0,5300.0,5400.0,5400.0,5400.0,9000,9000,1548229021,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190123_T0_631829bf48fd4e11492ef1fb7e815b53,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190123_T0_631829bf48fd4e11492ef1fb7e815b53,,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,VM03-04-192.168.10.83,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,23,1,freshdirect-search,4,2019,200,Test Complete,18.1
,24.0,4846.0,,3908.0,,3908.1000000006,3908.1000000006,4594.0,2071.0,8485.0,,0.0,1.0,878.0,0.0,1506513.0,1060741.0,80710.0,63057.0,0.0,,5691.0,4846.0,4754.0,4754.0,2083.0,5.0,3908.0,4290.0,3469.0,,4994.0,3908.0,3908.0,5691.0,5691.0,2258.0,2082.0,2082.0,33.0,12024.0,30.0,1548273141.270674,5691.0,5691.0,4846.0,4754.0,3523.0,4754.0,0.0,0.0,150907.0,293022.0,2.0,3908.0,4290.0,3469.0,,3908.1000000006,3908.0,12054.0,8670.0,35.9601824969,145860.0,1279298.0,,,,,,15306.0,204973.0,5300.0,0.84,0.71,0.15,48.4506666667,5623.155,9048.83,7518.547,18517.552,,7778.0,0.23,0.8,5691.0,5691.0,5691.0,0.0,-1.0,-1.0,1.0,4000.0,155.0,89.0,155.0,137.0,0.0,18.0,0.0,1.0,43.0,94.0,-1.0,93.0,-1.0,-1.0,89.0,100.0,-1.0,100.0,0.0,52.0,0.0,1.0,0.0,19116.0,0.0,3438.0,3438.0,,,,5300.0,4700.0,5100.0,5200.0,5200.0,9000,9000,1548273131,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190123_HE_c1c8dcb59f1ab143635dadfd40fc8fc4,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190123_HE_c1c8dcb59f1ab143635dadfd40fc8fc4,,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,VM04-06-192.168.10.94,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,23,1,freshdirect-search,4,2019,200,Test Complete,18.1
,24.0,5461.0,,4057.0,,4057.7000000047997,4057.7000000047997,4984.0,2065.0,8562.0,,0.0,1.0,898.0,0.0,1436973.0,1107172.0,80896.0,62651.0,0.0,,6352.0,5461.0,5338.0,5337.0,2073.0,5.0,4057.0,4519.0,3543.0,5873.0,5873.0,4057.0,4057.0,6355.0,6352.0,2268.0,2072.0,2072.0,33.0,11738.0,46.0,1548317220.5169,6352.0,6352.0,5461.0,5338.0,3490.0,5338.0,0.0,0.0,147851.0,258262.0,2.0,4058.0,4519.0,3543.0,5873.0,4057.7000000047997,4058.0,11784.0,9420.0,39.780405405399996,84719.0,1220311.0,,,,,,15306.0,198912.0,6100.0,0.84,0.71,0.17,40.7041111111,5378.699000000001,12072.653,7558.380999999998,14097.768,,7401.0,0.23,0.8,6355.0,6352.0,6352.0,0.0,-1.0,-1.0,1.0,4100.0,162.0,91.0,162.0,139.0,0.0,23.0,0.0,1.0,43.0,94.0,-1.0,93.0,-1.0,-1.0,94.0,100.0,-1.0,100.0,0.0,50.0,0.0,1.0,0.0,17348.0,0.0,3511.0,3511.0,,,,6100.0,5100.0,5100.0,5100.0,5900.0,9000,9000,1548317221,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190124_A1_7fbd760c6f7a0f19ea05ff2a4cd69d77,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190124_A1_7fbd760c6f7a0f19ea05ff2a4cd69d77,,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,VM03-03-192.168.10.82,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,24,1,freshdirect-search,4,2019,200,Test Complete,18.1
,24.0,5388.0,,4179.0,,4179.800000005301,4179.800000005301,5067.0,2183.0,8222.0,,0.0,1.0,877.0,0.0,1432040.0,1101372.0,81137.0,61972.0,0.0,,6264.0,5388.0,5281.0,5281.0,2192.0,17.0,4179.0,4638.0,3614.0,5519.0,5519.0,4179.0,4179.0,6265.0,6264.0,2374.0,2192.0,2192.0,34.0,12372.0,0.0,1548361319.8007689,6265.0,6264.0,5388.0,5282.0,3429.0,5281.0,0.0,0.0,140547.0,269811.0,2.0,4180.0,4638.0,3615.0,5520.0,4179.800000005301,4180.0,12372.0,9189.0,37.131313131300004,81420.0,1217951.0,,,,,,15306.0,195624.0,5900.0,0.84,0.71,0.2,47.4974285714,5266.981,8738.494,7492.523,14325.456,,7213.0,0.23,0.8,6266.0,6265.0,6265.0,0.0,-1.0,-1.0,1.0,4200.0,173.0,90.0,173.0,145.0,0.0,28.0,0.0,1.0,43.0,95.0,-1.0,93.0,-1.0,-1.0,94.0,100.0,-1.0,100.0,0.0,50.0,0.0,1.0,0.0,18242.0,0.0,3583.0,3583.0,,,,5900.0,5500.0,5800.0,5800.0,5800.0,9000,9000,1548361323,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190124_S1_a43b41825350e4b5406425427f3005b9,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190124_S1_a43b41825350e4b5406425427f3005b9,,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,VM01-04-192.168.10.62,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,24,1,freshdirect-search,4,2019,200,Test Complete,18.1
,24.0,5530.0,,4226.0,,4226.0999999999,4226.0999999999,5004.0,2103.0,8302.0,,0.0,1.0,876.0,0.0,1457437.0,1096444.0,80035.0,61788.0,0.0,,6439.0,5530.0,5409.0,5409.0,2109.0,17.0,4226.0,4660.0,3784.0,5235.0,5235.0,4226.0,4226.0,6440.0,6440.0,2304.0,2108.0,2108.0,32.0,11856.0,0.0,1548405431.5685859,6440.0,6440.0,5530.0,5409.0,3404.0,5409.0,0.0,0.0,149434.0,252811.0,2.0,4226.0,4660.0,3785.0,5236.0,4226.0999999999,4226.0,11856.0,9280.0,38.9752204956,107526.0,1244070.0,,,,,,15306.0,194071.0,6200.0,0.84,0.71,0.15,23.8976060606,5738.56,10708.268999999998,8437.739,14808.2240000153,,7721.0,0.23,0.8,6441.0,6440.0,6440.0,0.0,-1.0,-1.0,1.0,4200.0,160.0,90.0,160.0,138.0,0.0,22.0,0.0,1.0,42.0,95.0,-1.0,93.0,-1.0,-1.0,92.0,100.0,-1.0,100.0,0.0,49.0,0.0,1.0,0.0,17881.0,0.0,3752.0,3752.0,,,,6200.0,5100.0,5800.0,6200.0,6200.0,9000,9000,1548405425,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190125_VG_b5c0e2e42b0de9ede26d0aebc3979131,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190125_VG_b5c0e2e42b0de9ede26d0aebc3979131,,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,VM02-02-192.168.10.70,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,25,1,freshdirect-search,4,2019,200,Test Complete,18.1
,24.0,4932.0,,3975.0,,3976.0000000023997,3976.0000000023997,4858.0,1898.0,7516.0,,0.0,1.0,870.0,0.0,1431258.0,1099618.0,80753.0,62491.0,0.0,,5830.0,4931.0,4840.0,4840.0,1908.0,4.0,3975.0,4354.0,3316.0,5326.0,5326.0,3975.0,3975.0,5831.0,5830.0,2084.0,1905.0,1905.0,33.0,11268.0,0.0,1548449522.301597,5831.0,5831.0,4932.0,4841.0,3462.0,4840.0,0.0,0.0,152748.0,279587.0,2.0,3976.0,4355.0,3317.0,5327.0,3976.0000000023997,3976.0,11268.0,8219.0,35.8482337549,82309.0,1219317.0,,,,,,15306.0,193778.0,5700.0,0.84,0.71,0.28,19.4361395349,5287.515,8894.494,7916.099,8894.4940000076,,7237.0,0.23,0.8,5832.0,5831.0,5831.0,0.0,-1.0,-1.0,1.0,3900.0,166.0,90.0,166.0,138.0,0.0,28.0,0.0,1.0,43.0,95.0,-1.0,93.0,-1.0,-1.0,94.0,100.0,-1.0,100.0,0.0,50.0,0.0,1.0,0.0,16802.0,0.0,3286.0,3286.0,,,,5700.0,5300.0,5700.0,5700.0,5700.0,9000,9000,1548449516,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190125_1G_23c2bb7b95a9b78a7944d3523019e3c6,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190125_1G_23c2bb7b95a9b78a7944d3523019e3c6,,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,VM03-05-192.168.10.84,https://www.freshdirect.com/srch.jsp?searchParams=Goya+Black+Beans,25,1,freshdirect-search,4,2019,200,Test Complete,18.1
