data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.FirstPaintedHero,data.average.firstView.LastInteractive,data.average.firstView.LastPaintedHero,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.heroElementTimes.BackgroundImage,data.average.firstView.heroElementTimes.FirstPaintedHero,data.average.firstView.heroElementTimes.Heading,data.average.firstView.heroElementTimes.Image,data.average.firstView.heroElementTimes.LastPaintedHero,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.max-potential-fid,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.userTime,data.average.firstView.userTime.snaptr,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testRuns,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
24,,,,,3457.9000000012,3457.9000000012,3728.0,1600.0,,,0,1,701.0,8.0,5053931.0,5038145.0,36838.0,33643.0,0,,15668.0,3435.0,3431.0,3431.0,1608.0,4.0,3457.0,3457.0,3372.0,3457.0,3457.0,3457.0,3457.0,15698.0,15668.0,1995.0,1607.0,1607.0,26.0,,,1540669062.100535,15669.0,15669.0,3436.0,3432.0,1186.0,3431.0,0,0,292676.0,358102.0,1.0,3458.0,3458.0,3373.0,3458.0,3457.9000000012,3458.0,18868.0,15990.0,43.204539313699996,17148.0,2012302.0,,,,,,130188.0,2857446.0,5200.0,0.56,0.87,0.17,1235.221,6134.83,6804.538000000001,6134.8409999999985,34955.691,,7549.0,0.31,0.9,15698.0,15669.0,15669.0,0,-1,-1,1,3500,195.0,180.0,195.0,159.0,1.0,35.0,99999,1.0,53.0,93.0,-1,96.0,-1,-1,100.0,100.0,-1,32.0,0,4.0,0,1,0,26839.0,0,10002.0,10002.0,5200.0,3800,3800,3800,3900,9000,9000,1540669158,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181027_F6_56a4c838817a4adcc9e62322acbc796d,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181027_F6_56a4c838817a4adcc9e62322acbc796d,,https://jet.com,VM4-01-192.168.11.119,https://jet.com,27,10,home,43,2018,200,Test Complete,18.1
24,,,,,3608.0000000002,3608.0000000002,4318.0,1812.0,,,0,1,709.0,8.0,4976481.0,4960688.0,36560.0,32844.0,0,,15965.0,3612.0,3607.0,3607.0,1820.0,11.0,3607.0,3607.0,3542.0,3607.0,3607.0,3607.0,3607.0,16036.0,15965.0,2212.0,1820.0,1820.0,27.0,,,1540670114.711796,15965.0,15965.0,3612.0,3607.0,1116.0,3607.0,0,0,282834.0,350504.0,1.0,3608.0,3608.0,3543.0,3608.0,3608.0000000002,3608.0,19407.0,16710.0,43.6748562467,17146.0,2005406.0,,,,,,134840.0,2877286.0,5300.0,0.56,0.87,0.15,1457.94,5690.071999999999,6534.065,5690.084,36509.5100000038,,10014.0,0.31,0.9,16036.0,15965.0,15965.0,0,-1,-1,1,3600,198.0,178.0,198.0,156.0,1.0,41.0,99999,1.0,54.0,95.0,-1,96.0,-1,-1,100.0,100.0,-1,31.0,0,3.0,0,1,0,27153.0,0,10683.0,10683.0,5200.0,4600,4600,4600,4700,9000,9000,1540670211,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181027_SZ_6b0e130db64f885d8a8e1d09ad091776,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181027_SZ_6b0e130db64f885d8a8e1d09ad091776,,https://jet.com,VM3-01-192.168.11.137,https://jet.com,27,10,home,43,2018,200,Test Complete,18.1
24,,,,,3420.2999999979997,3420.2999999979997,4134.0,1608.0,,,0,1,700.0,8.0,5112257.0,5096220.0,36224.0,33557.0,0,,16767.0,3406.0,3397.0,3397.0,1621.0,23.0,3420.0,3420.0,3347.0,3420.0,3420.0,3420.0,3420.0,16790.0,16767.0,2068.0,1620.0,1620.0,28.0,,,1540678780.9187028,16768.0,16767.0,3406.0,3397.0,1184.0,3397.0,0,0,287237.0,336162.0,1.0,3420.0,3420.0,3348.0,3420.0,3420.2999999979997,3420.0,19406.0,16570.0,43.354264782799994,46575.0,2042185.0,,,,,,136881.0,2884816.0,5000.0,0.56,0.87,0.42,1554.9479999999999,5004.59,5878.172,5004.614000000001,5878.172,,9004.0,0.31,0.9,16791.0,16767.0,16768.0,0,-1,-1,1,3500,195.0,185.0,195.0,156.0,1.0,38.0,99999,1.0,54.0,95.0,-1,96.0,-1,-1,98.0,100.0,-1,31.0,0,3.0,0,1,0,27882.0,0,11765.0,11765.0,5000.0,4400,4400,4400,4500,9000,9000,1540678877,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181027_1D_7f23d9d3e66756bc6af56b3205a82d7e,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181027_1D_7f23d9d3e66756bc6af56b3205a82d7e,,https://jet.com,VM4-02-192.168.11.120,https://jet.com,27,10,home,43,2018,200,Test Complete,18.1
24,,,,,3536.500000002,3536.500000002,4246.0,1849.0,,,0,1,698.0,8.0,5106623.0,5090330.0,37152.0,33439.0,0,,15133.0,3538.0,3528.0,3527.0,1859.0,9.0,3536.0,3536.0,3471.0,3536.0,3536.0,3536.0,3536.0,15173.0,15134.0,2240.0,1859.0,1859.0,25.0,,,1540680549.202636,15134.0,15134.0,3539.0,3528.0,1187.0,3528.0,0,0,304509.0,383163.0,1.0,3537.0,3537.0,3472.0,3537.0,3536.500000002,3537.0,18619.0,14959.0,40.7962912462,46568.0,2042411.0,,,,,,135470.0,2878760.0,5100.0,0.56,0.87,0.37,1503.0510000000006,5563.749,6183.802,5563.76,6183.802,,9444.0,0.31,0.9,15173.0,15134.0,15134.0,0,-1,-1,1,3600,213.0,181.0,213.0,165.0,1.0,47.0,99999,1.0,54.0,95.0,-1,96.0,-1,-1,98.0,100.0,-1,31.0,0,3.0,0,1,0,26119.0,0,10218.0,10218.0,5000.0,4500,4500,4500,4600,9000,9000,1540680643,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181027_NM_4e5a09b4ba227d7ef39a813dd74fd270,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181027_NM_4e5a09b4ba227d7ef39a813dd74fd270,,https://jet.com,VM4-06-192.168.11.124,https://jet.com,27,10,home,43,2018,200,Test Complete,18.1
24,,,,,3737.799999995301,3737.799999995301,4375.0,1827.0,,,0,1,704.0,8.0,5100094.0,5083971.0,36633.0,33444.0,0,,16403.0,3703.0,3697.0,3697.0,1838.0,12.0,3737.0,3737.0,3608.0,3737.0,3737.0,3737.0,3737.0,16485.0,16403.0,2231.0,1838.0,1838.0,26.0,,,1540683706.59966,16404.0,16404.0,3704.0,3698.0,1187.0,3698.0,0,0,287022.0,348766.0,1.0,3738.0,3738.0,3608.0,3738.0,3737.799999995301,3738.0,19596.0,17049.0,44.182430681499994,46573.0,2043436.0,,,,,,133769.0,2871336.0,5200.0,0.56,0.87,0.41,1637.4089999999999,5421.78,6396.844,5421.795,6396.844,,7194.0,0.31,0.9,16486.0,16404.0,16404.0,0,-1,-1,1,3800,198.0,184.0,198.0,161.0,1.0,36.0,99999,1.0,53.0,94.0,-1,96.0,-1,-1,98.0,100.0,-1,32.0,0,3.0,0,1,0,27370.0,0,10842.0,10842.0,5200.0,4600,4600,4600,4700,9000,9000,1540683803,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181027_SB_2cb93473648572a87ff1200a5f63e605,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181027_SB_2cb93473648572a87ff1200a5f63e605,,https://jet.com,VM2-08-192.168.11.105,https://jet.com,27,10,home,43,2018,200,Test Complete,18.1
24,,,,,3637.3999999996004,3637.3999999996004,4333.0,1677.0,,,0,1,701.0,8.0,5068231.0,5052108.0,36921.0,33731.0,0,,16046.0,3640.0,3631.0,3630.0,1686.0,12.0,3637.0,3637.0,3534.0,3637.0,3637.0,3637.0,3637.0,16093.0,16046.0,2074.0,1685.0,1685.0,27.0,,,1540683783.938034,16047.0,16046.0,3640.0,3631.0,1185.0,3630.0,0,0,288590.0,351573.0,1.0,3637.0,3637.0,3534.0,3637.0,3637.3999999996004,3637.0,19239.0,15929.0,42.098308668099996,17144.0,2012639.0,,,,,,133769.0,2871337.0,5200.0,0.56,0.87,0.22,1671.644,5244.55,6080.897,5244.562,36339.19,,7482.0,0.31,0.9,16093.0,16046.0,16047.0,0,-1,-1,1,3700,198.0,181.0,198.0,159.0,1.0,38.0,99999,1.0,54.0,95.0,-1,96.0,-1,-1,100.0,100.0,-1,32.0,0,3.0,0,1,0,26599.0,0,10511.0,10511.0,5200.0,4600,4600,4600,4700,9000,9000,1540683878,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181027_6Z_69df3e26e151cb3dd2fb01007b5326c7,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181027_6Z_69df3e26e151cb3dd2fb01007b5326c7,,https://jet.com,VM2-05-192.168.11.103,https://jet.com,27,10,home,43,2018,200,Test Complete,18.1
24,,,,,3367.5000000003,3367.5000000003,4174.0,1602.0,,,0,1,701.0,8.0,5068633.0,5052840.0,35342.0,32701.0,0,,16819.0,3370.0,3366.0,3365.0,1616.0,28.0,3367.0,3367.0,3284.0,3367.0,3367.0,3367.0,3367.0,16839.0,16819.0,1999.0,1616.0,1616.0,25.0,,,1540685839.326987,16820.0,16819.0,3370.0,3366.0,1187.0,3365.0,0,0,283686.0,332030.0,1.0,3368.0,3368.0,3284.0,3368.0,3367.5000000003,3368.0,19469.0,17290.0,45.03777025270001,17140.0,2013512.0,,,,,,133769.0,2871627.0,5000.0,0.56,0.87,0.44,1408.221,5309.526999999999,6185.794,5309.539000000002,6185.794,,6841.0,0.31,0.9,16839.0,16820.0,16820.0,0,-1,-1,1,3400,189.0,176.0,189.0,158.0,1.0,30.0,99999,1.0,54.0,95.0,-1,96.0,-1,-1,100.0,100.0,-1,32.0,0,3.0,0,1,0,27505.0,0,11558.0,11558.0,4900.0,4500,4500,4500,4500,9000,9000,1540685956,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_RH_fc78df873f575022a249e1d75730c7a9,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_RH_fc78df873f575022a249e1d75730c7a9,,https://jet.com,VM3-04-192.168.11.111,https://jet.com,27,10,home,43,2018,200,Test Complete,18.1
24,,,,,3311.4999999998,3311.4999999998,3696.0,1645.0,,,0,1,708.0,8.0,5068025.0,5051860.0,36177.0,33010.0,0,,15593.0,3323.0,3316.0,3316.0,1655.0,24.0,3311.0,3311.0,3248.0,3311.0,3311.0,3311.0,3311.0,15631.0,15593.0,2041.0,1654.0,1654.0,24.0,,,1540685919.757499,15594.0,15593.0,3323.0,3317.0,1187.0,3316.0,0,0,295563.0,362166.0,1.0,3311.0,3311.0,3249.0,3311.0,3311.4999999998,3311.0,18792.0,15780.0,42.6601784266,17136.0,2012528.0,,,,,,133769.0,2871294.0,4900.0,0.56,0.87,0.21,1457.318,4647.044,5443.5059999999985,4647.055,34389.675,,9876.0,0.31,0.9,15631.0,15593.0,15594.0,0,-1,-1,1,3400,200.0,175.0,200.0,158.0,1.0,41.0,99999,1.0,54.0,95.0,-1,96.0,-1,-1,100.0,100.0,-1,32.0,0,3.0,0,1,0,26367.0,0,10549.0,10549.0,4900.0,3800,3800,3800,3900,9000,9000,1540686014,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_B4_56ecd52e36503b579ad1fac10eaaf73b,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_B4_56ecd52e36503b579ad1fac10eaaf73b,,https://jet.com,VM3-05-192.168.11.112,https://jet.com,27,10,home,43,2018,200,Test Complete,18.1
24,,,,,3496.2000000014,3496.2000000014,4231.0,1681.0,,,0,1,701.0,8.0,5080161.0,5064124.0,35874.0,33187.0,0,,16099.0,3499.0,3493.0,3493.0,1692.0,17.0,3496.0,3496.0,3427.0,3496.0,3496.0,3496.0,3496.0,16124.0,16099.0,2078.0,1691.0,1691.0,26.0,,,1540709717.417848,16099.0,16099.0,3499.0,3494.0,1165.0,3493.0,0,0,297189.0,351236.0,1.0,3496.0,3496.0,3428.0,3496.0,3496.2000000014,3496.0,18775.0,16779.0,45.535956580699995,17140.0,2013254.0,,,,,,135905.0,2882252.0,5000.0,0.56,0.87,0.38,1491.326,5341.047,6182.33,5341.058000000001,6182.33,,9480.0,0.31,0.9,16124.0,16099.0,16099.0,0,-1,-1,1,3600,193.0,181.0,193.0,158.0,1.0,34.0,99999,1.0,54.0,95.0,-1,96.0,-1,-1,100.0,100.0,-1,31.0,0,4.0,0,1,0,26432.0,0,11152.0,11152.0,5000.0,4500,4500,4500,4500,9000,9000,1540709837,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_EW_87ba8e00ee13a3c1ee8c56c11e65e2dd,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_EW_87ba8e00ee13a3c1ee8c56c11e65e2dd,,https://jet.com,VM1-06-192.168.11.93,https://jet.com,28,10,home,43,2018,200,Test Complete,18.1
24,,,,,3473.7999999997996,3473.7999999997996,4177.0,1691.0,,,0,1,705.0,8.0,5092909.0,5076872.0,37096.0,34429.0,0,,16423.0,3496.0,3490.0,3490.0,1704.0,25.0,3473.0,3473.0,3388.0,3473.0,3473.0,3473.0,3473.0,16474.0,16423.0,2094.0,1703.0,1703.0,27.0,,,1540711788.8082721,16423.0,16423.0,3497.0,3491.0,1165.0,3491.0,0,0,290095.0,344615.0,1.0,3474.0,3474.0,3389.0,3474.0,3473.7999999997996,3474.0,19247.0,16850.0,44.7305548182,17138.0,2012807.0,,,,,,138876.0,2895899.0,5200.0,0.56,0.87,0.19,1483.38,5669.119000000002,6295.554,5669.13,36151.395,,7682.0,0.31,0.9,16474.0,16423.0,16423.0,0,-1,-1,1,3500,197.0,185.0,197.0,156.0,1.0,40.0,99999,1.0,54.0,95.0,-1,96.0,-1,-1,100.0,100.0,-1,31.0,0,4.0,0,1,0,28554.0,0,10822.0,10822.0,5200.0,4500,4600,4600,4600,9000,9000,1540711885,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_CV_3d6fb4f17c72ef74f825ad5c58345b31,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_CV_3d6fb4f17c72ef74f825ad5c58345b31,,https://jet.com,VM1-02-192.168.11.89,https://jet.com,28,10,home,43,2018,200,Test Complete,18.1
