data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.LastInteractive,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
24,3492.0,3474.0,3474.1999999969,3474.1999999969,3783,1770,11164.0,3474.0,0,1,709,1,2430467,1767373,55598,43165,0,8095,3492,3491,3491,1781,18,3474,3474,3436,9364,9364,3474,3474,8099,8095,2208,1780,1780,22,11035.0,21.0,1546928062.131491,8095,8095,3492,3492,1141,3491,0,0,261734,279426,1,3474,3474,3437,9365,3474.1999999969,3474,11056,13009,37.1714285714,13915,1754851,70586,627853,7400,0.58,0.8,0.33,1531.537,3616.588,19109.477,4569.4090000000015,19109.477,4858,0.31,1,8099,8095,8095,0,-1,-1,1,3500,85,47,85,81,1,3,99999,1,33,97,-1,89,-1,-1,100,100,-1,0,0,13,0,1,0,19722,0,7400,3500,3500,7200,7400,9000,9000,1546928091,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190108_GY_c0bc79aaa1a596c73cbc4de3c44984d7,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190108_GY_c0bc79aaa1a596c73cbc4de3c44984d7,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,VM03-04-192.168.10.83,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,8,1,product2-noanalytics,2,2019,200,Test Complete,18.1
24,3316.0,3282.0,3282.5999999985997,3282.5999999985997,3552,1737,8411.0,3282.0,0,1,700,1,2421427,1770642,55619,43185,0,7368,3315,3315,3313,1751,12,3282,3282,3240,8379,8379,3282,3282,7373,7368,2154,1750,1750,22,10178.0,0.0,1546971761.659826,7369,7368,3316,3315,1141,3314,0,0,286864,314389,1,3283,3283,3240,8379,3282.5999999985997,3283,10178,10999,33.5059396893,13915,1756944,69350,616715,6500,0.58,0.8,0.33,1264.167,3683.652,17982.026,4493.962,17982.026,4859,0.31,1,7373,7368,7369,0,-1,-1,1,3300,85,47,85,81,1,3,99999,1,49,97,-1,89,-1,-1,100,100,-1,0,0,14,0,1,0,17852,0,6500,3300,3300,6400,6500,9000,9000,1546971787,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190108_AG_7e81c7546b93217891a183f16fa681b3,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190108_AG_7e81c7546b93217891a183f16fa681b3,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,VM03-02-192.168.10.81,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,8,1,product2-noanalytics,2,2019,200,Test Complete,18.1
24,3845.0,3845.0,3845.1,3845.1,4257,1972,8636.0,,0,1,785,1,2407358,1767698,55435,43147,0,7755,3806,3805,3805,1981,15,3845,3845,3733,8621,8621,3845,3845,7760,7755,2387,1980,1980,22,10655.0,0.0,1547015865.102075,7756,7756,3806,3806,1113,3805,0,0,277249,305618,1,3845,3845,3734,8621,3845.1,3845,10655,10650,31.5742662318,13915,1754147,67368,605467,7000,0.58,0.8,0.36,1218.8,3414.295,17935.135,4376.584,17935.135,4601,0.31,1,7760,7756,7756,0,-1,-1,1,4000,84,47,84,80,1,3,99999,1,49,97,-1,89,-1,-1,100,100,-1,0,0,14,0,1,0,18025,0,7000,4000,4000,6800,7000,9000,9000,1547015892,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190109_4M_57a1210a50d747faafdd8f6d87580558,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190109_4M_57a1210a50d747faafdd8f6d87580558,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,VM01-04-192.168.10.62,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,9,1,product2-noanalytics,2,2019,200,Test Complete,18.1
24,3578.0,3551.0,3551.9999999959996,3551.9999999959996,3741,1761,8541.0,,0,1,700,1,2420596,2392172,55788,52357,0,11031,3577,3577,3577,1771,14,3551,3551,3522,8541,8541,3551,3551,11071,11031,2162,1771,1771,22,13114.0,0.0,1547059093.404574,11031,11031,3578,3577,1137,3577,0,0,213212,258055,1,3552,3552,3522,8541,3551.9999999959996,3552,13114,11010,36.7367367367,13915,1754882,69392,617934,6600,0.58,0.8,0.35,1110.097,3453.974,18524.717,4324.904,18524.717,4652,0.31,1,11072,11031,11031,0,-1,-1,1,3500,85,79,85,81,1,3,99999,1,49,97,-1,89,-1,-1,100,100,-1,0,0,14,0,1,0,20630,0,6600,3500,3500,6400,6600,9000,9000,1547059120,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190109_GC_0f6b49cf35f01e80330ce40e363e7009,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190109_GC_0f6b49cf35f01e80330ce40e363e7009,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,VM03-05-192.168.10.84,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,9,1,product2-noanalytics,2,2019,200,Test Complete,18.1
24,3294.0,3288.0,3288.3000000002003,3288.1999999953996,3550,1690,8480.0,3288.0,0,1,701,1,2430921,1767699,55578,43146,0,7222,3294,3293,3293,1701,10,3288,3288,3241,8234,8234,3288,3288,7224,7222,2147,1699,1699,22,11826.0,0.0,1547103197.236217,7222,7222,3294,3293,1137,3293,0,0,239830,319540,1,3288,3288,3241,8235,3288.1999999953996,3288,11826,11430,41.2933526012,13915,1754908,73707,628252,6400,0.58,0.8,0.34,1141.391,3596.348,18348.591,4652.051,18348.591,4781,0.31,1,7224,7222,7222,0,-1,-1,1,3300,85,47,85,81,1,3,99999,1,49,97,-1,89,-1,-1,100,100,-1,0,0,13,0,1,0,19244,0,6400,3300,3300,6200,6400,9000,9000,1547103223,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190110_47_cf4435fb75de51cd967009ba3256ca00,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190110_47_cf4435fb75de51cd967009ba3256ca00,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,VM03-07-192.168.10.86,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,10,1,product2-noanalytics,2,2019,200,Test Complete,18.1
24,3332.0,3307.0,3307.8000000023,3307.8000000023,3586,1635,8288.0,,0,1,701,1,2428275,1765654,55602,43168,0,7386,3332,3331,3331,1643,8,3307,3307,3278,8256,8256,3307,3307,7389,7386,2053,1642,1642,22,10978.0,0.0,1547147308.6574721,7387,7386,3332,3332,1137,3331,0,0,259903,306963,1,3308,3308,3279,8257,3307.8000000023,3308,10978,11050,42.3209498276,13915,1752246,73707,628252,6700,0.58,0.8,0.36,1249.275,3434.317,17867.508,4471.076,17867.508,4617,0.31,1,7389,7387,7387,0,-1,-1,1,3300,85,47,85,81,1,3,99999,1,49,97,-1,89,-1,-1,100,100,-1,0,0,13,0,1,0,18323,0,6700,3300,3300,6400,6700,9000,9000,1547147326,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190110_4D_24aa4cd3ea266da0f28135f2e994ab4e,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190110_4D_24aa4cd3ea266da0f28135f2e994ab4e,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,VM02-02-192.168.10.70,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,10,1,product2-noanalytics,2,2019,200,Test Complete,18.1
24,3430.0,3412.0,3412.7000000008,3412.7000000008,3672,1850,8508.0,3412.0,0,1,701,1,2425203,1766050,55583,43150,0,7453,3429,3429,3429,1859,11,3412,3412,3383,8487,8487,3412,3412,7457,7453,2280,1858,1858,22,10453.0,0.0,1547191400.931587,7453,7453,3430,3430,1133,3429,0,0,281902,315197,1,3413,3413,3383,8488,3412.7000000008,3413,10453,10790,43.16,13915,1752598,73181,624837,6500,0.58,0.8,0.34,523.75,3620.899,17727.115,4573.465,17727.115,4766,0.31,1,7458,7454,7453,0,-1,-1,1,3400,85,47,85,81,1,3,99999,1,49,97,-1,89,-1,-1,100,100,-1,0,0,13,0,1,0,18418,0,6500,3400,3400,6400,6500,9000,9000,1547191424,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190111_KD_704a8383fec7e618844c27de1e14f28b,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190111_KD_704a8383fec7e618844c27de1e14f28b,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,VM01-08-192.168.10.66,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,11,1,product2-noanalytics,2,2019,200,Test Complete,18.1
24,3367.0,3328.0,3328.2000000036,3328.2000000036,3599,1703,8815.0,3328.0,0,1,736,1,2400871,2372447,53168,49864,0,10588,3367,3366,3366,1718,4,3328,3328,3297,8822,8822,3328,3328,10662,10591,2103,1716,1716,22,12636.0,0.0,1547235330.262091,10591,10588,3367,3367,1085,3366,0,0,219598,266926,1,3328,3328,3297,8823,3328.2000000036,3328,12636,11890,40.7331277835,13915,1749536,69052,603573,7200,0.58,0.8,0.33,1470.504,3653.205,18448.085,4719.692,18448.085,4881,0.31,1,10662,10591,10591,0,-1,-1,1,3300,82,76,82,78,1,3,99999,1,49,97,-1,89,-1,-1,100,100,-1,0,0,12,0,1,0,20323,0,7200,3300,3300,7000,7200,9000,9000,1547235349,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190111_ND_6a426e1368852f3465f621184b083dc5,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190111_ND_6a426e1368852f3465f621184b083dc5,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,VM02-05-192.168.10.73,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,11,1,product2-noanalytics,2,2019,200,Test Complete,18.1
24,3494.0,3464.0,3464.9000000004,3464.9000000004,3743,1697,8585.0,3464.0,0,1,701,1,2402637,1762901,52854,41233,0,7672,3494,3493,3493,1707,13,3464,3464,3437,8379,8379,3464,3464,7677,7673,2121,1706,1706,23,11354.0,0.0,1547279345.234651,7673,7673,3494,3494,1061,3493,0,0,248797,294996,1,3465,3465,3437,8379,3464.9000000004,3465,11354,10360,38.7289719626,13915,1757558,69052,597316,6800,0.58,0.8,0.37,1278.418,3317.176,17950.34,4250.6190000000015,17950.34,4527,0.31,1,7677,7673,7673,0,-1,-1,1,3500,81,46,81,77,1,3,99999,1,49,97,-1,89,-1,-1,100,100,-1,0,0,11,0,1,0,18642,0,6800,3500,3500,6700,6800,9000,9000,1547279368,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190112_8Z_7efac1e9c96430fafca34b8bf517f153,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190112_8Z_7efac1e9c96430fafca34b8bf517f153,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,VM01-05-192.168.10.63,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,12,1,product2-noanalytics,2,2019,200,Test Complete,18.1
24,4119.0,4109.0,4109.6000000034,4109.6000000034,4372,2168,9348.0,4109.0,0,1,701,2,2509756,1766768,55312,43150,0,8314,4119,4118,4118,2179,10,4109,4109,4029,9327,9327,4109,4109,8317,8314,2561,2177,2177,22,12214.0,0.0,1547322915.326207,8315,8315,4119,4119,1109,4118,0,0,249826,287419,1,4109,4109,4029,9328,4109.6000000034,4109,12214,11940,41.588296760700004,13915,1754419,66073,707619,7400,0.58,0.8,0.35,1308.478,3496.597,18152.209,4487.628,18152.209,4697,0.31,1,8318,8315,8315,0,-1,-1,1,4100,84,47,84,80,1,3,99999,1,49,97,-1,91,-1,-1,100,100,-1,0,0,11,0,1,0,19476,0,7400,4100,4100,7300,7400,9000,9000,1547322938,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190112_NR_1351c5583100825e78b9ea5aac3a3b92,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190112_NR_1351c5583100825e78b9ea5aac3a3b92,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,VM03-03-192.168.10.82,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24&disable_analytics=true,12,1,product2-noanalytics,2,2019,200,Test Complete,18.1
