data.average.firstView,data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.FirstPaintedHero,data.average.firstView.LastInteractive,data.average.firstView.LastPaintedHero,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.heroElementTimes.BackgroundImage,data.average.firstView.heroElementTimes.FirstPaintedHero,data.average.firstView.heroElementTimes.Heading,data.average.firstView.heroElementTimes.Image,data.average.firstView.heroElementTimes.LastPaintedHero,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.max-potential-fid,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.userTime,data.average.firstView.userTime.snaptr,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testRuns,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
,24.0,,,,,3428.3999999989,3428.3999999989,3866.0,1753.0,,,0.0,1.0,702.0,1.0,3093780.0,2970553.0,53987.0,49446.0,0.0,,12820.0,3470.0,3465.0,3465.0,1768.0,24.0,3428.0,3428.0,3408.0,3428.0,3428.0,3428.0,3428.0,12863.0,12820.0,2158.0,1767.0,1767.0,22.0,,,1540685705.0115929,12821.0,12820.0,3470.0,3465.0,858.0,3465.0,0.0,0.0,179474.0,268391.0,1.0,3428.0,3428.0,3409.0,3428.0,3428.3999999989,3428.0,18991.0,17359.0,46.7168998924,44877.0,2621301.0,,,,,,25487.0,318237.0,7200.0,0.69,0.8,0.38,1706.106,3933.285,4841.737,4841.737,24077.5500000019,,5265.0,0.31,1.0,12863.0,12820.0,12821.0,0.0,-1.0,-1.0,1.0,3500.0,220.0,159.0,220.0,165.0,1.0,54.0,99999.0,1.0,33.0,93.0,-1.0,92.0,-1.0,-1.0,99.0,100.0,-1.0,0.0,0.0,6.0,0.0,1.0,0.0,26546.0,0.0,8235.0,8235.0,7200.0,4200.0,4200.0,4200.0,7200.0,9000,9000,1540685789,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_NE_f3f889441ce1e0607c04fd5ac32405bd,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_NE_f3f889441ce1e0607c04fd5ac32405bd,,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,VM2-03-192.168.11.100,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,27,10,product2,43,2018,200,Test Complete,18.1
,24.0,,,,,3231.4999999944002,3231.4999999944002,3670.0,1540.0,,,0.0,1.0,700.0,1.0,2980207.0,2935220.0,52758.0,47409.0,0.0,,12429.0,3257.0,3251.0,3250.0,1550.0,15.0,3231.0,3231.0,3198.0,3231.0,3231.0,3231.0,3231.0,12489.0,12429.0,1932.0,1549.0,1549.0,21.0,,,1540685838.034058,12430.0,12429.0,3257.0,3251.0,865.0,3251.0,0.0,0.0,199358.0,269533.0,1.0,3231.0,3231.0,3198.0,3232.0,3231.4999999944002,3231.0,16489.0,15549.0,47.7140227064,15453.0,2591686.0,,,,,,21202.0,296692.0,7300.0,0.69,0.8,0.38,962.025,3874.208,4853.362,4853.362,28678.60200000001,,5189.0,0.31,1.0,12489.0,12429.0,12430.0,0.0,-1.0,-1.0,1.0,3300.0,176.0,151.0,176.0,140.0,1.0,35.0,99999.0,1.0,31.0,92.0,-1.0,93.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,4.0,0.0,1.0,0.0,23420.0,0.0,8822.0,8822.0,7300.0,3900.0,3900.0,3900.0,7300.0,9000,9000,1540685919,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_S7_c21f57ee792bdfe191765445e97da2c3,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_S7_c21f57ee792bdfe191765445e97da2c3,,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,VM3-08-192.168.11.116,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,27,10,product2,43,2018,200,Test Complete,18.1
,24.0,,,,,3259.6000000049,3259.6000000049,3691.0,1627.0,,,0.0,1.0,701.0,1.0,3065715.0,2942529.0,53708.0,49806.0,0.0,,13679.0,3297.0,3291.0,3290.0,1637.0,24.0,3259.0,3259.0,3228.0,3259.0,3259.0,3259.0,3259.0,13762.0,13680.0,2023.0,1636.0,1636.0,21.0,,,1540685918.3644106,13680.0,13680.0,3297.0,3291.0,860.0,3291.0,0.0,0.0,171460.0,244132.0,1.0,3260.0,3260.0,3229.0,3260.0,3259.6000000049,3260.0,19507.0,18010.0,47.1465968587,15451.0,2594221.0,,,,,,25487.0,318237.0,7600.0,0.69,0.8,0.38,1605.224,3880.406,4851.373,4851.373,29683.577,,5254.0,0.31,1.0,13763.0,13680.0,13680.0,0.0,-1.0,-1.0,1.0,3300.0,219.0,158.0,219.0,163.0,1.0,55.0,99999.0,1.0,33.0,93.0,-1.0,92.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,6.0,0.0,1.0,0.0,27410.0,0.0,8566.0,8566.0,7600.0,4000.0,4000.0,4000.0,7600.0,9000,9000,1540686003,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_PC_d6eff2e1dd9ac39008ba1bd30a51c7c6,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_PC_d6eff2e1dd9ac39008ba1bd30a51c7c6,,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,VM1-02-192.168.11.89,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,27,10,product2,43,2018,200,Test Complete,18.1
,24.0,,,,,3291.4000000019,3291.4000000019,3725.0,1588.0,,,0.0,1.0,699.0,1.0,3094797.0,2964849.0,54588.0,47733.0,0.0,,12201.0,3071.0,3065.0,3064.0,1599.0,19.0,3291.0,3291.0,3250.0,3291.0,3291.0,3291.0,3291.0,12253.0,12201.0,1991.0,1599.0,1599.0,22.0,,,1540711341.198653,12201.0,12202.0,3072.0,3065.0,859.0,3065.0,0.0,0.0,174129.0,279360.0,1.0,3291.0,3291.0,3250.0,3291.0,3291.4000000019,3291.0,19361.0,16940.0,44.508670520200006,44877.0,2622036.0,,,,,,25487.0,318279.0,7300.0,0.69,0.8,,,3914.285,,4833.196,,,5261.0,0.58,1.0,12254.0,12202.0,12201.0,0.0,-1.0,-1.0,1.0,3300.0,222.0,152.0,222.0,167.0,1.0,54.0,99999.0,1.0,32.0,92.0,-1.0,92.0,-1.0,-1.0,99.0,100.0,-1.0,0.0,0.0,6.0,0.0,1.0,0.0,26461.0,0.0,8312.0,8312.0,7300.0,4100.0,4100.0,4100.0,7300.0,9000,9000,1540711473,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_DT_cf759e67ebc522eb2a6e25bb50b034ce,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_DT_cf759e67ebc522eb2a6e25bb50b034ce,,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,VM3-03-192.168.11.110,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,28,10,product2,43,2018,200,Test Complete,18.1
,24.0,,,,,3407.8000000009,3407.8000000009,3839.0,1754.0,,,0.0,1.0,698.0,1.0,3065664.0,2942434.0,53111.0,49160.0,0.0,,12983.0,3442.0,3436.0,3436.0,1763.0,14.0,3407.0,3407.0,3368.0,3407.0,3407.0,3407.0,3407.0,13040.0,12983.0,2157.0,1763.0,1763.0,21.0,,,1540713895.895365,12984.0,12983.0,3442.0,3436.0,858.0,3436.0,0.0,0.0,175985.0,262015.0,1.0,3408.0,3408.0,3369.0,3408.0,3407.8000000009,3408.0,19174.0,17500.0,45.4899922017,15451.0,2594133.0,,,,,,25487.0,318279.0,7200.0,0.69,0.8,0.36,1564.726,3974.292,5518.2119999999995,4882.194,28911.513,,5314.0,0.31,1.0,13040.0,12984.0,12984.0,0.0,-1.0,-1.0,1.0,3500.0,221.0,161.0,221.0,168.0,1.0,52.0,99999.0,1.0,33.0,93.0,-1.0,92.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,6.0,0.0,1.0,0.0,26721.0,0.0,8670.0,8670.0,7200.0,4100.0,4100.0,4100.0,7200.0,9000,9000,1540713979,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_8K_589932d7f2d19705296d748e3f129e63,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_8K_589932d7f2d19705296d748e3f129e63,,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,VM3-02-192.168.11.109,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,28,10,product2,43,2018,200,Test Complete,18.1
,24.0,,,,,3397.100000002001,3397.100000002001,3833.0,1717.0,,,0.0,1.0,702.0,1.0,3013997.0,2956517.0,54232.0,47627.0,0.0,,13261.0,3437.0,3433.0,3432.0,1728.0,14.0,3397.0,3397.0,3373.0,3397.0,3397.0,3397.0,3397.0,13370.0,13261.0,2120.0,1728.0,1727.0,22.0,,,1540729764.682123,13262.0,13261.0,3438.0,3433.0,798.0,3432.0,0.0,0.0,166528.0,256086.0,1.0,3397.0,3397.0,3373.0,3397.0,3397.100000002001,3397.0,19816.0,19739.0,51.0605276772,44881.0,2603731.0,,,,,,25487.0,316223.0,7800.0,0.69,0.8,0.37,1901.136,3925.554,5530.669,4824.231,28860.436,,5316.0,0.31,1.0,13370.0,13261.0,13262.0,0.0,-1.0,-1.0,1.0,3400.0,215.0,151.0,215.0,160.0,1.0,54.0,99999.0,1.0,31.0,93.0,-1.0,92.0,-1.0,-1.0,99.0,100.0,-1.0,0.0,0.0,4.0,0.0,1.0,0.0,28040.0,0.0,9368.0,9368.0,7800.0,4200.0,4200.0,4200.0,7800.0,9000,9000,1540729851,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_CN_1c305333204330ee5537d2df24b30212,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_CN_1c305333204330ee5537d2df24b30212,,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,VM3-07-192.168.11.114,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,28,10,product2,43,2018,200,Test Complete,18.1
,24.0,,,,,3507.4999999924,3507.4999999924,3933.0,1628.0,,,0.0,1.0,708.0,1.0,2984770.0,2927489.0,54112.0,48103.0,0.0,,12720.0,3264.0,3258.0,3258.0,1638.0,17.0,3507.0,3507.0,3463.0,3507.0,3507.0,3507.0,3507.0,12769.0,12720.0,2020.0,1637.0,1637.0,23.0,,,1540773798.395644,12721.0,12720.0,3264.0,3258.0,795.0,3258.0,0.0,0.0,164522.0,263904.0,1.0,3508.0,3508.0,3463.0,3508.0,3507.4999999924,3508.0,19770.0,17590.0,45.1952723535,15455.0,2575865.0,,,,,,25487.0,316222.0,7400.0,0.69,0.8,0.37,2069.1,4049.933,4936.111,4936.111,29860.19100000001,,5398.0,0.31,1.0,12769.0,12720.0,12721.0,0.0,-1.0,-1.0,1.0,3600.0,222.0,155.0,222.0,162.0,1.0,59.0,99999.0,1.0,31.0,92.0,-1.0,92.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,5.0,0.0,1.0,0.0,27177.0,0.0,8623.0,8623.0,7400.0,4200.0,4200.0,4200.0,7400.0,9000,9000,1540773885,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_N5_cf50ba5fe4721822d93e8f27ff3d06de,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_N5_cf50ba5fe4721822d93e8f27ff3d06de,,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,VM4-08-192.168.11.126,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,28,10,product2,43,2018,200,Test Complete,18.1
,24.0,,,,,3344.1000000021004,3344.1000000021004,3820.0,1679.0,,,0.0,1.0,701.0,1.0,3065183.0,3036451.0,52882.0,49827.0,0.0,,17055.0,3373.0,3369.0,3368.0,1687.0,16.0,3344.0,3344.0,3302.0,3344.0,3344.0,3344.0,3344.0,17110.0,17055.0,2081.0,1686.0,1686.0,19.0,,,1540826287.862028,17055.0,17056.0,3374.0,3370.0,839.0,3369.0,0.0,0.0,175343.0,197479.0,1.0,3344.0,3344.0,3302.0,3344.0,3344.1000000021004,3344.0,19160.0,15820.0,38.3050847458,15452.0,2593772.0,,,,,,25487.0,318295.0,7200.0,0.69,0.8,0.39,1466.858,3875.43,4765.101,4765.101,32239.853,,5232.0,0.31,1.0,17111.0,17056.0,17055.0,0.0,-1.0,-1.0,1.0,3400.0,218.0,198.0,218.0,164.0,1.0,53.0,99999.0,1.0,32.0,91.0,-1.0,92.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,6.0,0.0,1.0,0.0,28278.0,0.0,8297.0,8297.0,7200.0,4200.0,4200.0,4200.0,7200.0,9000,9000,1540826377,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_KV_c735b86a083cdedc520d4b3d66a2fee5,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_KV_c735b86a083cdedc520d4b3d66a2fee5,,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,VM4-08-192.168.11.126,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,29,10,product2,44,2018,200,Test Complete,18.1
,24.0,,,,,3769.6000000004997,3769.6000000004997,4207.0,1998.0,,,0.0,1.0,705.0,1.0,3042760.0,2942420.0,53260.0,48721.0,0.0,,16652.0,3824.0,3817.0,3816.0,2011.0,15.0,3769.0,3769.0,3746.0,3769.0,3769.0,3769.0,3769.0,16712.0,16652.0,2387.0,2011.0,2011.0,22.0,,,1540833251.615345,16652.0,16652.0,3824.0,3817.0,821.0,3816.0,0.0,0.0,159867.0,200792.0,1.0,3770.0,3770.0,3746.0,3770.0,3769.6000000004997,3770.0,21031.0,21259.0,52.2487097567,15450.0,2572790.0,,,,,,25487.0,318256.0,8000.0,0.69,0.8,,2086.137,4146.29,5076.835999999998,5076.835999999998,,,5500.0,0.31,1.0,16713.0,16652.0,16652.0,0.0,-1.0,-1.0,1.0,3800.0,216.0,160.0,216.0,162.0,1.0,53.0,99999.0,1.0,33.0,93.0,-1.0,92.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,6.0,0.0,1.0,0.0,29740.0,0.0,9262.0,9262.0,8000.0,4500.0,4500.0,4500.0,8000.0,9000,9000,1540833337,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_NZ_0af08f9aa855f220435500e6d1cd755e,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_NZ_0af08f9aa855f220435500e6d1cd755e,,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,VM1-03-192.168.11.90,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,29,10,product2,44,2018,200,Test Complete,18.1
,24.0,,,,,3435.900000004,3435.900000004,3897.0,1855.0,,,0.0,1.0,702.0,1.0,3042382.0,2941832.0,52738.0,48201.0,0.0,,14330.0,3469.0,3466.0,3465.0,1862.0,20.0,3435.0,3435.0,3406.0,3435.0,3435.0,3435.0,3435.0,14390.0,14330.0,2244.0,1862.0,1862.0,20.0,,,1540838976.91181,14331.0,14330.0,3469.0,3466.0,821.0,3465.0,0.0,0.0,172901.0,235799.0,1.0,3436.0,3436.0,3406.0,3436.0,3435.900000004,3436.0,19451.0,16849.0,44.4591029024,15451.0,2572524.0,,,,,,25487.0,318213.0,7300.0,0.69,0.8,,1917.0220000000002,4218.807,5112.543,5112.543,,,5638.0,0.31,1.0,14390.0,14330.0,14331.0,0.0,-1.0,-1.0,1.0,3500.0,210.0,159.0,210.0,161.0,1.0,48.0,99999.0,1.0,33.0,94.0,-1.0,92.0,-1.0,-1.0,100.0,100.0,-1.0,0.0,0.0,5.0,0.0,1.0,0.0,26427.0,0.0,8354.0,8354.0,7300.0,4200.0,4200.0,4300.0,7300.0,9000,9000,1540839058,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_ST_9bca524e39f1fb8394761e13e6f0766c,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_ST_9bca524e39f1fb8394761e13e6f0766c,,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,VM4-07-192.168.11.125,https://jet.com/product/Columbia-Womens-Heavenly-Vest/891b8f38b3a14255baaef36d8a54f640?experienceId=24,29,10,product2,44,2018,200,Test Complete,18.1
