data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.FirstPaintedHero,data.average.firstView.LastInteractive,data.average.firstView.LastPaintedHero,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.heroElementTimes.BackgroundImage,data.average.firstView.heroElementTimes.FirstPaintedHero,data.average.firstView.heroElementTimes.Heading,data.average.firstView.heroElementTimes.Image,data.average.firstView.heroElementTimes.LastPaintedHero,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.max-potential-fid,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.userTime,data.average.firstView.userTime.snaptr,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testRuns,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
24,,,,,3591.5999999997,3591.5999999997,3884,1696,,,0,1,699.0,2,3224316,3090485,58661,53638,0,,13977,3420,3415,3414,1704,13,3591,3591,3564,7735,7735,3591,3591.0,14043,13977,2087,1703,1703,22,,,1540685702.722815,13977,13978,3421,3416,813,3415,0,0,176994,251647.0,1,3592,3592,3565,7735,3591.5999999997,3592.0,19913,17839,45.9320288363,44882,2619903,,,,,,66902,450324,7900,0.67,0.8,0.4,1308.6960000000001,3805.572,4674.478,4674.478,29996.53100000001,,5076.0,0.31,1.0,14044,13978,13977,0,-1,-1,1,3600,220,162,220,161,1,58,99999,1,34,93,-1,86,-1,-1,99,100,-1,0,0,8,0,1,0,27650,0,9624.0,9624.0,7900,3600,4400,5200,7900,9000,9000,1540685787,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_1S_781d1682592e746810823ce4b62b24a5,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_1S_781d1682592e746810823ce4b62b24a5,,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,VM4-06-192.168.11.124,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,27,10,product25,43,2018,200,Test Complete,18.1
24,,,,,3307.8000000023,3307.8000000023,3638,1665,,,0,1,706.0,2,3195291,3068213,57824,51442,0,,12896,3344,3340,3340,1675,23,3307,3307,3284,6969,6969,3307,3307.0,12958,12896,2058,1674,1674,22,,,1540685838.7955391,12897,12897,3345,3341,816,3340,0,0,187550,273167.0,1,3308,3308,3284,6969,3307.8000000023,3308.0,18702,16750,45.111769458699996,15448,2591983,,,,,,66902,450366,7200,0.67,0.8,0.39,1474.104,3767.1459999999997,5614.083000000001,4647.101,24330.487,,5061.0,0.31,,12958,12897,12897,0,-1,-1,1,3400,222,160,222,168,1,53,99999,1,33,92,-1,86,-1,-1,100,100,-1,0,0,9,0,1,0,26257,0,8700.0,8700.0,7200,3400,4000,4600,7200,9000,9000,1540685978,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_FA_0d10cf201be7ebbd349fa64887214111,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_FA_0d10cf201be7ebbd349fa64887214111,,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,VM4-01-192.168.11.119,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,27,10,product25,43,2018,200,Test Complete,18.1
24,,,,,3229.9999999996003,3229.9999999996003,3574,1616,,,0,1,702.0,2,3200902,3073494,56792,51100,0,,13046,3250,3243,3242,1625,15,3229,3229,3188,7108,7108,3229,3229.0,13104,13047,2009,1624,1624,19,,,1540685919.36951,13047,13047,3250,3243,817,3243,0,0,180413,268873.0,1,3230,3230,3189,7108,3229.9999999996003,3230.0,19358,17420,46.048109965600005,15452,2597325,,,,,,66902,450324,7400,0.67,0.8,0.39,1445.286,3838.137,4774.414000000002,4774.414000000002,29727.961,,5140.0,0.31,1.0,13104,13047,13047,0,-1,-1,1,3300,221,158,221,167,1,53,99999,1,34,93,-1,86,-1,-1,100,100,-1,0,0,9,0,1,0,26659,0,8987.0,8987.0,7400,3300,4100,5100,7400,9000,9000,1540686004,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_1S_c2acafefcc1ca9c148406c8600937e80,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_1S_c2acafefcc1ca9c148406c8600937e80,,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,VM2-04-192.168.11.101,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,27,10,product25,43,2018,200,Test Complete,18.1
24,,,,,3225.9000000049,3225.9000000049,3564,1586,,,0,1,706.0,2,3195724,3068316,56677,52516,0,,13150,3269,3265,3264,1598,10,3225,3225,3185,7150,7150,3225,3225.0,13199,13150,1983,1596,1596,20,,,1540709718.71906,13151,13151,3270,3265,813,3265,0,0,187366,265310.0,1,3226,3226,3185,7150,3225.9000000049,3226.0,18642,17380,46.6827827021,15455,2591925,,,,,,66902,450367,7400,0.67,0.8,0.4,1590.681,3817.143,4734.866,4734.866,29291.22,,5115.0,0.31,1.0,13200,13151,13151,0,-1,-1,1,3300,223,163,223,171,1,51,99999,1,34,93,-1,86,-1,-1,100,100,-1,0,0,9,0,1,0,26225,0,8911.0,8911.0,7400,3300,3500,5000,7400,9000,9000,1540709805,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_MM_93e6014525af9466c99fa686e02dd30c,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_MM_93e6014525af9466c99fa686e02dd30c,,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,VM3-05-192.168.11.112,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,28,10,product25,43,2018,200,Test Complete,18.1
24,,,,,3225.8000000002003,3225.8000000002003,3546,1626,,,0,1,702.0,2,3223424,3096016,57902,53082,0,,13471,3266,3262,3261,1634,11,3225,3225,3198,6939,6939,3225,3225.0,13520,13471,2026,1633,1633,21,,,1540711341.421342,13472,13471,3266,3262,813,3261,0,0,184448,261355.0,1,3226,3226,3199,6940,3225.8000000002003,3226.0,19102,17179,44.84468807100001,44881,2618607,,,,,,66902,450350,7100,0.67,0.8,0.39,605.964,3877.071,4754.957,4754.957,29404.307,,5099.0,0.31,1.0,13520,13471,13472,0,-1,-1,1,3300,224,163,224,169,1,54,99999,1,33,93,-1,86,-1,-1,99,100,-1,0,0,9,0,1,0,27132,0,8620.0,8620.0,7100,3300,3300,4300,7100,9000,9000,1540711425,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_NB_19eafde076985571b16bb2dfe6f96d50,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_NB_19eafde076985571b16bb2dfe6f96d50,,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,VM1-02-192.168.11.89,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,28,10,product25,43,2018,200,Test Complete,18.1
24,,,,,3429.5999999958008,3429.5999999958008,3666,1617,,,0,1,708.0,2,3224052,3089936,57840,50620,0,,13323,3175,3169,3169,1631,24,3429,3429,3373,7496,7496,3429,3429.0,13374,13323,2039,1630,1630,22,,,1540729780.734442,13324,13323,3175,3169,815,3169,0,0,168050,263939.0,1,3430,3430,3373,7497,3429.5999999958008,3430.0,20802,21019,51.230806726800004,44883,2619351,,,,,,66902,450366,7600,0.67,0.8,,1414.774,3822.0440000000003,24737.259,4824.989000000001,,,5108.0,0.31,1.0,13374,13323,13324,0,-1,-1,1,3400,222,152,222,167,1,54,99999,1,34,93,-1,86,-1,-1,99,100,-1,0,0,9,0,1,0,28937,0,9272.0,9272.0,7600,3400,4100,4600,7600,9000,9000,1540729864,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_88_51e410e7743c32b402578d18c0033f42,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_88_51e410e7743c32b402578d18c0033f42,,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,VM2-01-192.168.11.98,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,28,10,product25,43,2018,200,Test Complete,18.1
24,,,,,3487.5000000029,3487.5000000029,3756,1682,,,0,1,713.0,2,3221974,3094524,57207,53072,0,,13638,3262,3257,3256,1693,27,3487,3487,3452,7151,7151,3487,3487.0,13678,13638,2082,1692,1692,21,,,1540817887.58236,13638,13638,3262,3257,812,3257,0,0,175613,258826.0,1,3487,3487,3453,7151,3487.5000000029,3487.0,20029,18740,46.6982307501,44878,2617259,,,,,,66902,450366,7300,0.67,0.8,0.4,589.0,3853.691,4740.196,4740.196,29905.845,,5121.0,0.31,1.0,13678,13638,13638,0,-1,-1,1,3500,224,162,224,168,1,55,99999,1,34,93,-1,86,-1,-1,99,100,-1,0,0,9,0,1,0,28039,0,9015.0,9015.0,7300,3500,4300,5100,7300,9000,9000,1540817974,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_FM_f10f0b29f054782752ff59b88e0b59c7,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_FM_f10f0b29f054782752ff59b88e0b59c7,,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,VM3-08-192.168.11.116,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,29,10,product25,44,2018,200,Test Complete,18.1
24,,,,,3614.8000000012,3614.8000000012,3969,1857,,,0,1,701.0,2,3195621,3078182,57626,52167,0,,15018,3647,3643,3643,1869,16,3614,3614,3593,7822,7822,3614,3614.0,15084,15018,2257,1868,1868,20,,,1540826290.054452,15019,15019,3648,3644,815,3643,0,0,180309,233868.0,1,3615,3615,3593,7823,3614.8000000012,3615.0,19580,18720,46.6949363931,15454,2592407,,,,,,66902,450382,7900,0.67,0.8,0.67,1760.497,3809.4970000000003,4717.379,4717.379,4715.141,,5111.0,0.31,1.0,15084,15019,15019,0,-1,-1,1,3700,222,162,222,170,1,51,99999,1,33,91,-1,86,-1,-1,100,100,-1,0,0,9,0,1,0,28231,0,9579.0,9579.0,7900,3700,4300,5500,7900,9000,9000,1540826372,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_VP_ab5f11b7e85c5eaa790aa1f3e7199005,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_VP_ab5f11b7e85c5eaa790aa1f3e7199005,,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,VM3-06-192.168.11.113,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,29,10,product25,44,2018,200,Test Complete,18.1
24,,,,,3469.3000000007,3469.3000000007,3801,1752,,,0,1,700.0,2,3166709,3063188,58388,52926,0,,14874,3492,3489,3488,1763,11,3469,3469,3438,7565,7565,3469,3469.0,14940,14874,2133,1762,1762,22,,,1540833252.585524,14874,14874,3493,3489,812,3489,0,0,187623,233439.0,1,3469,3469,3439,7566,3469.3000000007,3469.0,18630,17449,43.3540372671,15452,2565747,,,,,,66902,450342,7800,0.67,0.8,0.3,2237.721,4403.265,6688.294,5281.98,25421.905,,5750.0,0.31,1.0,14941,14874,14874,0,-1,-1,1,3500,177,163,177,146,1,30,99999,1,34,94,-1,86,-1,-1,100,100,-1,0,0,7,0,1,0,27707,0,8951.0,8951.0,7800,3500,4400,5500,7800,9000,9000,1540833343,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_JC_640352a5aad89e037906a7190af17b2e,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_JC_640352a5aad89e037906a7190af17b2e,,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,VM1-05-192.168.12.42,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,29,10,product25,44,2018,200,Test Complete,18.1
24,,,,,3560.3000000009997,3560.3000000009997,3784,1747,,,0,1,713.0,2,3225076,3097668,58484,54347,0,,13834,3625,3619,3618,1762,31,3560,3560,3530,7549,7549,3560,3560.0,13871,13834,2149,1761,1761,21,,,1540848073.281458,13834,13834,3625,3619,812,3618,0,0,182703,256280.0,1,3560,3560,3530,7549,3560.3000000009997,3560.0,19399,16869,43.8751625488,15452,2621413,,,,,,66902,450366,7800,0.67,0.8,,1675.3629999999994,4262.8,5154.3009999999995,5154.3009999999995,,,5571.0,0.31,1.0,13871,13834,13834,0,-1,-1,1,3500,223,163,223,167,1,55,99999,1,34,93,-1,86,-1,-1,100,100,-1,0,0,9,0,1,0,26773,0,8906.0,8906.0,7800,3500,4300,5700,7800,9000,9000,1540848153,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181029_74_67b35eb73f3c34e16e743508d8eb50aa,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181029_74_67b35eb73f3c34e16e743508d8eb50aa,,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,VM3-07-192.168.11.114,https://jet.com/product/Bobkona-Soft-Touch-Reversible-Bonded-Leather-Match-3-Piece-Sectional-Sofa-Set-Es/824d9d7a4b5c49ec87aa89cb1c26cf75?experienceId=25,29,10,product25,44,2018,200,Test Complete,18.1
