data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.LastInteractive,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.userTime,data.average.firstView.userTime.snaptr,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
24,,,3202.7999999991,3202.7999999991,3834,1691,,,0,1,700,1,2462267,2338082,27357,21425,0,,12770,3246,3242,3242,1700,8,3202,6532,3192,6371,6371,3202,3202,12811,12770,2129,1699,1699,24,,,1541523921.8858562,12771,12771,3246,3243,437,3242,0,0,142237,211018,1,3203,6533,3193,6372,3202.7999999991,3203,19002,15170,40.5289874432,44880,2070908,0,232357,9900,0.86,0.87,,1381.5870000000002,4152.848,4952.614000000001,4952.614000000001,,6470.0,0.31,0.9,12812,12771,12771,0,-1,-1,1,3200,183,123,183,125,1,57,99999,1,34,91,-1,100,-1,-1,98,100,-1,-1,0,3,0,1,0,27518,0,7690,7690,9900,3200,3300,9400,9400,9000,9000,1541523997,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181106_SX_2b4cee431a754ac07f9249e4b6c2c3c9,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181106_SX_2b4cee431a754ac07f9249e4b6c2c3c9,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,VM3-05-192.168.11.112,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,6,11,search23,45,2018,200,Test Complete,18.1
24,,,3318.7999999936,3318.7999999936,3737,1808,,,0,1,704,1,2431391,2307207,26120,21893,0,,12771,3372,3368,3367,1816,17,3318,6877,3306,6571,6571,3318,3318,12774,12771,2202,1816,1816,22,,,1541526417.121702,12772,12772,3372,3368,431,3368,0,0,141392,210434,1,3319,6878,3306,6571,3318.7999999936,3319,19004,13380,35.462496687,15458,2041613,0,232356,9900,0.86,0.87,0.32,1309.903,4131.188,5036.752,5036.752,19649.923,6477.0,0.31,0.9,12775,12772,12772,0,-1,-1,1,3300,182,125,182,122,1,59,99999,1,34,91,-1,100,-1,-1,100,100,-1,-1,0,3,0,1,0,25473,0,7852,7852,9900,3300,3300,6600,9400,9000,9000,1541526489,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181106_5F_8f4501b4e3ea7877b91531f59e7ec270,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181106_5F_8f4501b4e3ea7877b91531f59e7ec270,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,VM4-07-192.168.11.125,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,6,11,search23,45,2018,200,Test Complete,18.1
24,,,3311.6999999984005,3311.6999999984005,3898,1671,,,0,1,703,1,2462840,2338985,30366,22682,0,,13455,3358,3354,3354,1690,19,3311,6839,3301,6623,6623,3311,3311,13556,13455,2063,1689,1689,25,,,1541566877.303485,13455,13456,3359,3355,438,3354,0,0,140053,198488,1,3312,6840,3302,6623,3311.6999999984005,3312,19256,15180,40.2759352613,44881,2071626,0,232356,10100,0.86,0.87,0.34,924.3380000000001,3931.172,4881.694,4881.694,25008.308999999997,6194.0,0.31,0.9,13557,13456,13455,0,-1,-1,1,3300,193,128,193,130,1,62,99999,1,33,91,-1,100,-1,-1,98,100,-1,-1,0,3,0,1,0,26176,0,7862,7862,10100,3300,3300,9600,10100,9000,9000,1541566954,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181107_7Q_33f7ad68fc9b5c4c5fd3c01b1871204c,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181107_7Q_33f7ad68fc9b5c4c5fd3c01b1871204c,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,VM4-04-192.168.11.121,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,7,11,search23,45,2018,200,Test Complete,18.1
24,,,3511.3000000001,3511.3000000001,4125,1839,,,0,1,701,1,2463091,2338907,28394,22461,0,,13037,3554,3550,3550,1850,12,3511,7010,3496,6794,6794,3511,3511,13074,13037,2241,1848,1848,24,,,1541611041.864354,13038,13037,3554,3550,437,3550,0,0,141264,208849,1,3511,7011,3497,6794,3511.3000000001,3511,19275,13870,36.6931216931,44879,2071659,0,232356,10100,0.86,0.87,,1214.798,4157.048,5081.69,5081.69,,6489.0,0.31,0.9,13074,13037,13038,0,-1,-1,1,3600,187,126,187,126,1,60,99999,1,34,91,-1,100,-1,-1,98,100,-1,-1,0,3,0,1,0,25924,0,7976,7976,10100,3600,5000,6900,9600,9000,9000,1541611113,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181107_BE_e608b9d2df927000716705efc5fbbcbb,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181107_BE_e608b9d2df927000716705efc5fbbcbb,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,VM1-08-192.168.11.95,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,7,11,search23,45,2018,200,Test Complete,18.1
24,,,3453.3999999985,3453.3999999985,4050,1800,,,0,1,703,1,2463034,2338814,27421,22620,0,,13395,3520,3514,3513,1813,16,3453,7208,3440,7017,7017,3453,3453,13409,13395,2187,1812,1812,24,,,1541615595.605758,13395,13395,3521,3514,432,3514,0,0,144620,201708,1,3453,7209,3441,7018,3453.3999999985,3453,18831,14749,38.0546955624,44883,2070501,0,232356,10300,0.86,0.87,0.25,594.5880000000002,4050.2740000000003,12520.993,4931.721,19481.982999996202,6273.0,0.31,0.9,13410,13395,13395,0,-1,-1,1,3500,181,128,181,125,1,55,99999,1,34,91,-1,100,-1,-1,98,100,-1,-1,0,3,0,1,0,26407,0,8244,8244,10300,3500,4300,8600,9800,9000,9000,1541615673,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181107_5P_16a7d54fbaaf1866db10d0c33d9d398f,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181107_5P_16a7d54fbaaf1866db10d0c33d9d398f,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,VM4-01-192.168.11.119,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,7,11,search23,45,2018,200,Test Complete,18.1
24,,,4040.3000000006,4040.3000000006,4680,2336,,,0,1,710,1,2368114,2339050,24441,21551,0,,12948,4090,4086,4085,2351,32,4040,7924,4029,7460,7460,4040,4040,12952,12948,2738,2350,2350,22,,,1541616024.296129,12949,12949,4090,4087,435,4086,0,0,161008,220394,1,4040,7924,4030,7461,4040.3000000006,4040,17044,14589,43.959023802299996,44883,2069843,0,230257,10700,0.86,0.87,0.35,1036.077,3835.697,5328.268,4733.8679999999995,20607.66,6143.0,0.31,0.9,12953,12949,12949,0,-1,-1,1,4100,160,123,160,111,1,48,99999,1,31,91,-1,100,-1,-1,98,100,-1,-1,0,1,0,1,0,23549,0,9168,9168,10700,4100,5100,10200,10200,9000,9000,1541616099,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181107_VJ_ea97a66983ebd5049ddc3e90b79ca384,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181107_VJ_ea97a66983ebd5049ddc3e90b79ca384,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,VM1-08-192.168.11.95,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,7,11,search23,45,2018,200,Test Complete,18.1
24,,,3342.1999999991,3342.1999999991,3902,1784,,,0,1,700,1,2432266,2308081,29411,21754,0,,11891,3397,3392,3392,1793,29,3342,7016,3325,6563,6563,3342,3342,11942,11891,2175,1792,1792,23,,,1541628597.1002429,11892,11892,3397,3393,440,3393,0,0,149154,228342,1,3342,7017,3325,6564,3342.1999999991,3342,18091,13920,37.3992477163,15453,2041991,0,232356,9900,0.86,0.87,0.35,1025.517,3891.5040000000004,4793.002,4793.002,19344.353,6190.0,0.31,0.9,11943,11892,11892,0,-1,-1,1,3400,186,123,186,129,1,56,99999,1,34,92,-1,100,-1,-1,100,100,-1,-1,0,3,0,1,0,25262,0,7838,7838,9900,3400,3400,6600,9400,9000,9000,1541628672,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181107_KG_843b7e137c9373df3bfd01bc023a5a19,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181107_KG_843b7e137c9373df3bfd01bc023a5a19,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,VM4-03-192.168.11.122,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,7,11,search23,45,2018,200,Test Complete,18.1
24,,,3924.8000000007,3924.7000000032,4583,1758,,,0,1,704,1,2540979,2416021,29615,21566,0,,13550,3970,3966,3966,1768,12,3924,7659,3912,7468,7468,3924,3924,13612,13550,2158,1767,1767,24,,,1541654210.752528,13550,13550,3970,3966,440,3966,0,0,140969,204886,1,3925,7659,3912,7469,3924.7000000032,3925,19783,14029,35.9928168291,15451,2121718,0,260587,10800,0.86,0.87,,1296.161,4162.481,5033.956,5033.956,,6711.0,0.31,0.9,13612,13550,13550,0,-1,-1,1,4000,187,122,187,129,1,57,99999,1,34,92,-1,100,-1,-1,100,100,-1,-1,0,3,0,1,0,26576,0,8738,8738,10800,4000,6000,9100,10400,9000,9000,1541654284,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181108_JH_f276223b0ac05ced2d44eaa6436ebb8d,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181108_JH_f276223b0ac05ced2d44eaa6436ebb8d,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,VM3-06-192.168.11.113,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,8,11,search23,45,2018,200,Test Complete,18.1
24,,,3768.2999999996996,3768.2999999996996,4384,2119,,,0,1,708,1,2474994,2458332,25311,22007,0,,12835,3682,3679,3678,2129,22,3768,7432,3756,7143,7143,3768,3768,12838,12835,2504,2128,2128,25,,,1541691547.4839358,12836,12835,3682,3679,430,3678,0,0,180432,229386,1,3768,7432,3756,7144,3768.2999999996996,3768,15836,13309,42.5375519335,66967,2149676,0,258506,10800,0.86,0.87,0.31,861.081,4204.632000000001,5054.0340000000015,5054.0340000000015,20845.624,6704.0,0.31,0.9,12838,12835,12836,0,-1,-1,1,3800,141,126,141,102,1,38,99999,1,30,91,-1,100,-1,-1,97,100,-1,-1,0,1,0,1,0,22031,0,8505,8505,10800,3800,4500,10200,10700,9000,9000,1541691621,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181108_8P_e11ba3b50e14454faf98b87e4fa07d11,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181108_8P_e11ba3b50e14454faf98b87e4fa07d11,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,VM1-05-192.168.12.42,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,8,11,search23,45,2018,200,Test Complete,18.1
24,,,3828.9999999979,3828.9000000077003,4440,1862,,,0,1,707,1,2571575,2439849,26780,21386,0,,13240,3604,3596,3595,1874,30,3828,7695,3793,7436,7436,3828,3828,13252,13240,2288,1873,1873,24,,,1541698320.5778394,13240,13241,3605,3596,434,3596,0,0,140216,214435,1,3829,7696,3793,7437,3828.9000000077003,3829,20202,17869,45.32082170939999,44881,2151218,0,260629,10800,0.86,0.87,,1981.473,3872.9179999999997,5641.464,4874.411,,6583.0,0.31,0.9,13253,13241,13240,0,-1,-1,1,3800,183,118,183,124,1,58,99999,1,34,91,-1,100,-1,-1,98,100,-1,-1,0,3,0,1,0,28436,0,8976,8976,10800,3800,5000,10300,10800,9000,9000,1541698397,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181108_EN_27f3d52f833fd5283de9cbc26c32859f,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181108_EN_27f3d52f833fd5283de9cbc26c32859f,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,VM2-04-192.168.11.101,https://jet.com/search?filter=scheduledDelivery&page=1&term=chicken,8,11,search23,45,2018,200,Test Complete,18.1
