data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.FirstPaintedHero,data.average.firstView.LastInteractive,data.average.firstView.LastPaintedHero,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.heroElementTimes.BackgroundImage,data.average.firstView.heroElementTimes.FirstPaintedHero,data.average.firstView.heroElementTimes.Heading,data.average.firstView.heroElementTimes.LastPaintedHero,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.max-potential-fid,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.userTime,data.average.firstView.userTime.snaptr,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testRuns,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
24,,,,,3738.400000002,3738.400000002,3889,1973,,,0,1,699.0,1,2975160,2945913,38935,33761,0,,13304,3802,3782,3782,1983,15,3738,4349,3685,3738.0,3738,3738,3738.0,13357,13304,2385,1982,1982,24,,,1540685705.032918,13305,13304,3802,3782,1111,3782,0,0,193204,259964,1,3738,4350,3685,3738.0,3738.400000002,3738.0,17372,14690,42.6044083527,44879,2052498,,,,,116667,813716,8300,0.74,0.87,0.28,1885.024,4675.558,8384.473,4675.564,31106.6759999962,,5503,0.31,0.9,13357,13304,13305,0,-1,-1,1,3800,199,161,199,151,1,47,99999,1,40,94,-1,86,-1,-1,98,100,-1,0,0,18,0,1,0,24403,0,9405.0,9405.0,8300,3800,3800,4500,4900,9000,9000,1540685790,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_WM_c979d6db673fca79f2555c03cf14e45f,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_WM_c979d6db673fca79f2555c03cf14e45f,,https://jet.com/search?term=headphones&experienceId=26,VM3-01-192.168.11.137,https://jet.com/search?term=headphones&experienceId=26,27,10,search26,43,2018,200,Test Complete,18.1
24,,,,,4127.7999999947,4127.7999999947,4298,2106,,,0,1,701.0,1,3038872,2915080,40800,33772,0,,13727,4231,4197,4197,2117,28,4127,4690,4050,4127.0,4127,4127,4127.0,13795,13727,2531,2116,2116,25,,,1540685838.074182,13728,13727,4231,4197,1114,4197,0,0,167357,250824,1,4128,4691,4050,4128.0,4127.7999999947,4128.0,20264,16750,40.8436966593,15451,2025687,,,,,116667,815805,8800,0.74,0.87,0.35,867.16,4508.255,5402.045,4508.263,30544.013,,5306,0.31,0.9,13795,13727,13728,0,-1,-1,1,4200,220,159,220,166,1,53,99999,1,40,93,-1,86,-1,-1,100,100,-1,0,0,20,0,1,0,28386,0,10036.0,10036.0,8800,4200,4200,4800,5500,9000,9000,1540685926,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_KV_bd7a776215563e6956446c7cdb547136,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_KV_bd7a776215563e6956446c7cdb547136,,https://jet.com/search?term=headphones&experienceId=26,VM1-07-192.168.11.94,https://jet.com/search?term=headphones&experienceId=26,27,10,search26,43,2018,200,Test Complete,18.1
24,,,,,3982.600000000301,3982.600000000301,4096,2127,,,0,1,699.0,1,2959547,2923831,39262,33294,0,,13152,4060,4042,4041,2137,25,3982,4673,3939,3982.0,3982,3982,3982.0,13196,13152,2589,2136,2136,24,,,1540708590.694376,13152,13152,4061,4043,1123,4042,0,0,197923,265200,1,3983,4673,3940,3983.0,3982.600000000301,3983.0,17080,14870,43.86430678470001,15458,2021923,,,,,118852,830786,8400,0.74,0.87,0.36,1792.777,4361.129,5234.495,4361.137,28942.585,,5291,0.31,0.9,13196,13153,13152,0,-1,-1,1,4000,178,155,178,143,1,34,99999,1,40,94,-1,86,-1,-1,100,100,-1,0,0,20,0,1,0,24300,0,9445.0,9445.0,8400,4000,4000,4800,5300,9000,9000,1540708673,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_MS_371ef45093b9e9889191d56ccba01282,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_MS_371ef45093b9e9889191d56ccba01282,,https://jet.com/search?term=headphones&experienceId=26,VM4-05-192.168.11.123,https://jet.com/search?term=headphones&experienceId=26,28,10,search26,43,2018,200,Test Complete,18.1
24,,,,,3818.5000000084997,3818.5000000084997,3990,2026,,,0,1,711.0,1,3055971,2931807,40479,33991,0,,14305,3868,3847,3847,2035,25,3818,4421,3733,3818.0,3818,3818,3818.0,14360,14305,2489,2034,2034,25,,,1540708591.0648642,14306,14306,3869,3848,1124,3847,0,0,165330,238746,1,3819,4421,3734,3819.0,3818.5000000084997,3819.0,20510,16949,41.4020517831,15448,2025302,,,,,118852,832927,8600,0.74,0.87,0.46,1774.4589999999994,4430.821,7696.436,4430.83,7696.436,,5343,0.31,0.9,14361,14306,14306,0,-1,-1,1,3900,222,162,222,168,1,53,99999,1,41,94,-1,86,-1,-1,100,100,-1,0,0,22,0,1,0,28867,0,9428.0,9428.0,8600,3900,3900,4500,5000,9000,9000,1540708673,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_7T_2857f5a56a17b060ded969f9437c045e,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_7T_2857f5a56a17b060ded969f9437c045e,,https://jet.com/search?term=headphones&experienceId=26,VM1-05-192.168.12.42,https://jet.com/search?term=headphones&experienceId=26,28,10,search26,43,2018,200,Test Complete,18.1
24,,,,,3715.3000000035,3715.3000000035,3889,2006,,,0,1,702.0,1,2964891,2840727,40441,33953,0,,13787,3735,3705,3704,2019,18,3715,4267,3631,3715.0,3715,3715,3715.0,13844,13787,2457,2018,2018,26,,,1540708591.472262,13788,13787,3735,3705,1150,3705,0,0,168718,241107,1,3715,4268,3631,3715.0,3715.3000000035,3715.0,19579,15729,38.9742319128,15451,2025503,,,,,100636,741436,8400,0.74,0.87,0.36,1662.8570000000002,4360.5329999999985,5264.156999999998,4360.541,30904.82,,5338,0.31,0.9,13844,13788,13788,0,-1,-1,1,3800,226,166,226,172,1,53,99999,1,41,93,-1,87,-1,-1,100,100,-1,0,0,26,0,1,0,27975,0,9285.0,9285.0,8400,3800,3800,4400,4800,9000,9000,1540708680,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_3D_32944bfd2045471f91895bf77491750c,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_3D_32944bfd2045471f91895bf77491750c,,https://jet.com/search?term=headphones&experienceId=26,VM3-05-192.168.11.112,https://jet.com/search?term=headphones&experienceId=26,28,10,search26,43,2018,200,Test Complete,18.1
24,,,,,3916.7000000015996,3916.7000000015996,4092,2022,,,0,1,699.0,1,2954019,2924157,39150,33976,0,14093.0,14027,3994,3974,3974,2033,15,3916,4653,3873,3916.0,3916,3916,3916.0,14089,14027,2480,2032,2032,26,,,1540708590.713558,14028,14028,3994,3975,1061,3974,0,0,166236,243557,1,3917,4654,3873,3917.0,3916.7000000015996,3917.0,19792,15500,38.643729743200005,15455,2015533,,,,,118852,830828,8400,0.74,0.87,0.35,1951.018,4406.394,5309.8809999999985,4406.403,31375.0029999924,,5411,0.31,0.9,14089,14028,14028,0,-1,-1,1,4000,221,164,221,163,1,57,99999,1,39,93,-1,86,-1,-1,100,100,-1,0,0,21,0,1,0,28138,0,9448.0,9448.0,8400,4000,4000,4800,5300,9000,9000,1540708679,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_WS_5a185fbb46ffd236fe6db2a7768062af,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_WS_5a185fbb46ffd236fe6db2a7768062af,,https://jet.com/search?term=headphones&experienceId=26,VM2-07-192.168.11.102,https://jet.com/search?term=headphones&experienceId=26,28,10,search26,43,2018,200,Test Complete,18.1
24,,,,,3773.0000000009995,3773.0000000009995,3900,2022,,,0,1,704.0,1,3056994,2932831,40632,33581,0,,13437,3846,3825,3825,2037,15,3773,4502,3712,3773.0,3773,3773,3773.0,13495,13437,2469,2035,2035,24,,,1540708590.8874052,13438,13438,3847,3825,1126,3825,0,0,172283,256905,1,3773,4503,3713,3773.0,3773.0000000009995,3773.0,19766,16690,41.0477127398,15453,2026295,,,,,118852,832928,8200,0.74,0.87,0.32,1758.453,4320.959,7784.797,4320.9670000000015,30726.215,,5257,0.31,0.9,13495,13438,13438,0,-1,-1,1,3800,223,162,223,170,1,52,99999,1,40,93,-1,86,-1,-1,100,100,-1,0,0,22,0,1,0,28708,0,9335.0,9335.0,8200,3800,3800,4700,5100,9000,9000,1540708680,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_ET_95233da307c0944a45db1bad96343065,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_ET_95233da307c0944a45db1bad96343065,,https://jet.com/search?term=headphones&experienceId=26,VM2-08-192.168.11.105,https://jet.com/search?term=headphones&experienceId=26,28,10,search26,43,2018,200,Test Complete,18.1
24,,,,,3791.4999999994,3791.4999999994,3891,2066,,,0,1,703.0,1,2870972,2841725,38940,33763,0,,13821,3853,3832,3831,2074,13,3791,4441,3729,3791.0,3791,3791,3791.0,13878,13821,2513,2074,2074,24,,,1540709719.723904,13822,13821,3854,3832,1153,3832,0,0,182052,241725,1,3792,4442,3730,3792.0,3791.4999999994,3792.0,17836,15560,43.9796495195,15451,2024445,,,,,100636,739337,8700,0.74,0.87,0.36,1231.018,4324.668,5235.385,4324.679,30404.943,,5252,0.31,0.9,13878,13821,13822,0,-1,-1,1,3800,205,167,205,158,1,46,99999,1,40,94,-1,87,-1,-1,100,100,-1,0,0,24,0,1,0,24973,0,9672.0,9672.0,8700,3800,3800,4500,4900,9000,9000,1540709805,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_Z0_886ff5eb633e8d1b99a3c947d97f7f22,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_Z0_886ff5eb633e8d1b99a3c947d97f7f22,,https://jet.com/search?term=headphones&experienceId=26,VM2-03-192.168.11.100,https://jet.com/search?term=headphones&experienceId=26,28,10,search26,43,2018,200,Test Complete,18.1
24,,,,,3909.5999999990004,3909.5999999990004,4005,2051,,,0,1,708.0,1,2995934,2871770,40254,33743,0,,14462,3970,3948,3948,2062,13,3909,4575,3841,3909.0,3909,3909,3909.0,14538,14463,2500,2061,2061,24,,,1540711343.652169,14463,14462,3970,3948,1151,3948,0,0,161750,231370,1,3910,4575,3842,3910.0,3909.5999999990004,3910.0,20573,17979,42.9424408885,44877,2055426,,,,,100636,741436,8700,0.74,0.87,0.28,1833.153,4645.67,7975.161,4645.678,30533.902,,5539,0.31,0.9,14538,14463,14463,0,-1,-1,1,3900,229,169,229,175,1,53,99999,1,41,94,-1,87,-1,-1,98,100,-1,0,0,26,0,1,0,29376,0,9717.0,9717.0,8700,3900,3900,4600,5300,9000,9000,1540711432,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_60_7c690f2eb57f3506fd6348cb30874d24,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_60_7c690f2eb57f3506fd6348cb30874d24,,https://jet.com/search?term=headphones&experienceId=26,VM2-05-192.168.11.103,https://jet.com/search?term=headphones&experienceId=26,28,10,search26,43,2018,200,Test Complete,18.1
24,,,,,4144.0999999977,4144.0999999977,4369,2214,,,0,1,713.0,1,2985794,2861679,41393,33801,0,,14369,4222,4197,4196,2231,14,4144,4646,4076,4144.0,4144,4144,4144.0,14449,14369,2671,2229,2229,25,,,1540729780.223495,14369,14369,4223,4197,1163,4197,0,0,162403,235432,1,4144,4646,4076,4144.0,4144.0999999977,4144.0,20599,18639,44.3387250238,44880,2054141,,,,,99057,732747,9100,0.74,0.87,0.44,2551.841,4508.939,8131.274,4508.949000000001,8131.274,,5457,0.31,0.9,14450,14369,14369,0,-1,-1,1,4300,226,164,226,171,1,54,99999,1,41,94,-1,87,-1,-1,98,100,-1,0,0,24,0,1,0,30059,0,10187.0,10187.0,9100,4300,4300,4300,5300,9000,9000,1540729873,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,181028_2B_245d01257f14a8adc157f6dbb2ccb666,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=181028_2B_245d01257f14a8adc157f6dbb2ccb666,,https://jet.com/search?term=headphones&experienceId=26,VM3-05-192.168.11.112,https://jet.com/search?term=headphones&experienceId=26,28,10,search26,43,2018,200,Test Complete,18.1
