data.average.firstView.Colordepth,data.average.firstView.FirstInteractive,data.average.firstView.FirstPaintedHero,data.average.firstView.LastInteractive,data.average.firstView.LastPaintedHero,data.average.firstView.PerformancePaintTiming.first-contentful-paint,data.average.firstView.PerformancePaintTiming.first-paint,data.average.firstView.SpeedIndex,data.average.firstView.TTFB,data.average.firstView.TTIMeasurementEnd,data.average.firstView.TimeToInteractive,data.average.firstView.aft,data.average.firstView.avgRun,data.average.firstView.basePageSSLTime,data.average.firstView.bigImageCount,data.average.firstView.bytesIn,data.average.firstView.bytesInDoc,data.average.firstView.bytesOut,data.average.firstView.bytesOutDoc,data.average.firstView.cached,data.average.firstView.chromeUserTiming.InteractiveTime,data.average.firstView.chromeUserTiming.domComplete,data.average.firstView.chromeUserTiming.domContentLoadedEventEnd,data.average.firstView.chromeUserTiming.domContentLoadedEventStart,data.average.firstView.chromeUserTiming.domInteractive,data.average.firstView.chromeUserTiming.domLoading,data.average.firstView.chromeUserTiming.fetchStart,data.average.firstView.chromeUserTiming.firstContentfulPaint,data.average.firstView.chromeUserTiming.firstImagePaint,data.average.firstView.chromeUserTiming.firstLayout,data.average.firstView.chromeUserTiming.firstMeaningfulPaint,data.average.firstView.chromeUserTiming.firstMeaningfulPaintCandidate,data.average.firstView.chromeUserTiming.firstPaint,data.average.firstView.chromeUserTiming.firstTextPaint,data.average.firstView.chromeUserTiming.loadEventEnd,data.average.firstView.chromeUserTiming.loadEventStart,data.average.firstView.chromeUserTiming.responseEnd,data.average.firstView.chromeUserTiming.unloadEventEnd,data.average.firstView.chromeUserTiming.unloadEventStart,data.average.firstView.connections,data.average.firstView.cpu.Idle,data.average.firstView.cpu.Paint,data.average.firstView.date,data.average.firstView.docTime,data.average.firstView.domComplete,data.average.firstView.domContentLoadedEventEnd,data.average.firstView.domContentLoadedEventStart,data.average.firstView.domElements,data.average.firstView.domInteractive,data.average.firstView.domLoading,data.average.firstView.domTime,data.average.firstView.effectiveBps,data.average.firstView.effectiveBpsDoc,data.average.firstView.final_base_page_request,data.average.firstView.firstContentfulPaint,data.average.firstView.firstImagePaint,data.average.firstView.firstLayout,data.average.firstView.firstMeaningfulPaint,data.average.firstView.firstPaint,data.average.firstView.firstTextPaint,data.average.firstView.fullyLoaded,data.average.firstView.fullyLoadedCPUms,data.average.firstView.fullyLoadedCPUpct,data.average.firstView.gzip_savings,data.average.firstView.gzip_total,data.average.firstView.heroElementTimes.FirstPaintedHero,data.average.firstView.heroElementTimes.Heading,data.average.firstView.heroElementTimes.Image,data.average.firstView.heroElementTimes.LastPaintedHero,data.average.firstView.image_savings,data.average.firstView.image_total,data.average.firstView.lastVisualChange,data.average.firstView.lighthouse.Accessibility,data.average.firstView.lighthouse.BestPractices,data.average.firstView.lighthouse.Performance,data.average.firstView.lighthouse.Performance.estimated-input-latency,data.average.firstView.lighthouse.Performance.first-contentful-paint,data.average.firstView.lighthouse.Performance.first-cpu-idle,data.average.firstView.lighthouse.Performance.first-meaningful-paint,data.average.firstView.lighthouse.Performance.interactive,data.average.firstView.lighthouse.Performance.max-potential-fid,data.average.firstView.lighthouse.Performance.speed-index,data.average.firstView.lighthouse.ProgressiveWebApp,data.average.firstView.lighthouse.SEO,data.average.firstView.loadEventEnd,data.average.firstView.loadEventStart,data.average.firstView.loadTime,data.average.firstView.maybeCaptcha,data.average.firstView.minify_savings,data.average.firstView.minify_total,data.average.firstView.optimization_checked,data.average.firstView.render,data.average.firstView.requests,data.average.firstView.requestsDoc,data.average.firstView.requestsFull,data.average.firstView.responses_200,data.average.firstView.responses_404,data.average.firstView.responses_other,data.average.firstView.result,data.average.firstView.run,data.average.firstView.score_cache,data.average.firstView.score_cdn,data.average.firstView.score_combine,data.average.firstView.score_compress,data.average.firstView.score_cookies,data.average.firstView.score_etags,data.average.firstView.score_gzip,data.average.firstView.score_keep-alive,data.average.firstView.score_minify,data.average.firstView.score_progressive_jpeg,data.average.firstView.server_rtt,data.average.firstView.smallImageCount,data.average.firstView.start_epoch,data.average.firstView.step,data.average.firstView.testStartOffset,data.average.firstView.test_run_time_ms,data.average.firstView.titleTime,data.average.firstView.userTime,data.average.firstView.userTime.start-auth_initialize,data.average.firstView.userTime.start-sapphire_qualifiedexperiments_api_call,data.average.firstView.userTime.stop-auth_initialize,data.average.firstView.userTime.stop-sapphire_qualifiedexperiments_api_call,data.average.firstView.userTimingMeasure.____ auth_initialize,data.average.firstView.userTimingMeasure.____ sapphire_qualifiedexperiments_api_call,data.average.firstView.visualComplete,data.average.firstView.visualComplete85,data.average.firstView.visualComplete90,data.average.firstView.visualComplete95,data.average.firstView.visualComplete99,data.bwDown,data.bwUp,data.completed,data.connectivity,data.from,data.fvonly,data.id,data.latency,data.location,data.mobile,data.plr,data.successfulFVRuns,data.summary,data.testRuns,data.testUrl,data.tester,data.url,speedtracker.day,speedtracker.month,speedtracker.slug,speedtracker.week,speedtracker.year,statusCode,statusText,webPagetestVersion
24,,,,,1061.1000000063,1061.1000000063,2383,776,,,0,1,185.0,2,3235457,2977747,45798,41206,0,10949.0,10340,5104,5104,5100,784,26,1061,1061,1050,1992,1992,1061,1061.0,10345,10340,1108,782,782,31,,,1547503059.025925,10340,10341,5105,5105,785,5101,0,0,227512,311349.0,0,1061,1061,1051,1992,1061.1000000063,1061.0,14997,13430,40.512820512800005,0,2182585,,,,,0,514459,5900,0.89,0.93,0.42,449.3385,1003.415,11823.61,2662.323,21209.1239999924,,5643.0,0.38,0.91,10345,10341,10340,0,-1,-1,1,1000,143,108,143,125,0,18,0,1,59,97,-1,100,-1,-1,100,100,-1,100,0,5,0,1,0,23328,0,5772,3934,4786,5772,5327,1838,540,2500,2500,2500,2500,2500,9000,9000,1547503081,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190114_SF_a2effc85ab2e425f86f9cc90e70037c2,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190114_SF_a2effc85ab2e425f86f9cc90e70037c2,,https://www.target.com/,VM01-05-192.168.10.63,https://www.target.com/,14,1,target-home,3,2019,200,Test Complete,18.1
24,,,,,1414.8000000132001,1414.8000000132001,2468,888,,,0,1,183.0,2,3268658,3011077,46330,41206,0,11535.0,10939,3959,3959,3956,895,22,1414,1414,1403,2171,2171,1414,1414.0,10956,10940,1216,894,894,33,,,1547504742.710092,10940,10940,3959,3959,786,3956,0,0,231951,299550.0,0,1415,1415,1404,2171,1414.8000000132001,1415.0,14980,14379,43.40476909149999,29428,2212231,,,,,0,514459,6400,0.89,0.93,0.39,467.4005,2126.439,15598.882,2770.3259999999996,20339.7029999847,,5612.0,0.38,0.91,10956,10940,10940,0,-1,-1,1,1400,140,107,140,122,0,18,0,1,58,97,-1,100,-1,-1,99,100,-1,100,0,5,0,1,0,24066,0,5901,3896,4777,5901,5748,2005,971,2400,2300,2300,2300,2400,9000,9000,1547504765,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190114_W2_78b45608b8592c970b5b2a77170c394e,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190114_W2_78b45608b8592c970b5b2a77170c394e,,https://www.target.com/,VM01-03-192.168.10.61,https://www.target.com/,14,1,target-home,3,2019,200,Test Complete,18.1
24,,,,,1304.4999999984,1304.4999999984,2505,791,,,0,1,189.0,2,3215403,2957821,46349,41756,0,11145.0,10544,4882,4881,4876,798,17,1304,1304,1288,2055,2055,1304,1304.0,10549,10544,1101,797,797,32,,,1547572708.967432,10544,10544,4883,4882,785,4877,0,0,237351,303272.0,0,1305,1305,1289,2055,1304.4999999984,1305.0,14338,13920,42.9099876695,0,2174733,,,,,0,514459,5700,0.89,0.93,0.46,605.6635,1035.6860000000001,8686.091999999999,2723.23,21268.1870000153,,5201.0,0.38,0.91,10550,10544,10544,0,-1,-1,1,1300,139,107,139,120,0,19,0,1,58,97,-1,100,-1,-1,100,100,-1,100,0,5,0,1,0,22871,0,5418,3729,4552,5418,5106,1690,555,2400,2400,2400,2400,2400,9000,9000,1547572731,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190115_V9_7a57794a65f4c718314492f0874f1388,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190115_V9_7a57794a65f4c718314492f0874f1388,,https://www.target.com/,VM01-02-192.168.10.60,https://www.target.com/,15,1,target-home,3,2019,200,Test Complete,18.1
24,3732.0,,1089.0,,1089.2999999996,1089.2999999996,2064,784,10692.0,1089.0,0,1,185.0,1,2975791,2718106,45166,40573,0,7153.0,10094,3732,3732,3729,792,13,1089,1089,1078,2014,2014,1089,1089.0,10099,10094,1119,791,791,32,13835.0,40.0,1547650130.4074268,10095,10094,3732,3732,780,3730,0,0,227315,291924.0,0,1089,1089,1079,2015,1089.2999999996,1089.0,13875,13080,41.1450141554,0,2182627,,,,,0,248172,5600,0.94,0.93,0.47,448.63599999999997,1001.313,16742.381,2707.702,20555.9219999962,,4256.0,0.38,0.91,10099,10094,10095,0,-1,-1,1,1100,135,103,135,117,0,18,0,1,58,97,-1,100,-1,-1,100,100,-1,-1,0,5,0,1,0,22422,0,5376,3671,4450,5376,5058,1706,608,2300,2300,2300,2300,2300,9000,9000,1547650143,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190116_BV_5a34911d4132288a94d16e7f86eab880,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190116_BV_5a34911d4132288a94d16e7f86eab880,,https://www.target.com/,VM02-06-192.168.10.74,https://www.target.com/,16,1,target-home,3,2019,200,Test Complete,18.1
24,,,,,3957.8000000001,3957.8000000001,4068,774,,,0,1,186.0,1,3069917,2812332,45411,40820,0,13004.0,12401,5305,5294,5289,783,14,3957,3957,3796,5815,5815,3957,3957.0,12406,12401,1111,782,782,32,,,1547732023.475211,12402,12402,5306,5295,780,5290,0,0,190666,241858.0,0,3958,3958,3797,5816,3957.8000000001,3958.0,16875,16370,45.0096233159,0,2252930,,,,,0,248172,8500,0.94,0.93,0.41,487.029,1173.825,11744.344,2805.04,21125.382999999998,,5737.0,0.38,0.91,12407,12402,12402,0,-1,-1,1,4000,139,107,139,120,0,19,0,1,61,97,-1,100,-1,-1,100,100,-1,-1,0,5,0,1,0,25987,0,7787,5158,6521,7787,7538,2629,1018,6000,4000,4000,4000,6000,9000,9000,1547732040,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190117_FA_17d7a62ac6a3c83899c552d3be82090c,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190117_FA_17d7a62ac6a3c83899c552d3be82090c,,https://www.target.com/,VM03-05-192.168.10.84,https://www.target.com/,17,1,target-home,3,2019,200,Test Complete,18.1
24,,,,,1361.8000000024,1361.8000000024,2397,843,,,0,1,241.0,2,3239457,2981830,46501,41909,0,11605.0,10980,5064,5064,5058,853,17,1361,1361,1348,2230,2230,1361,1361.0,10985,10980,1168,852,852,32,,,1547745250.9228039,10980,10980,5065,5065,785,5059,0,0,224837,294153.0,0,1362,1362,1348,2231,1361.8000000024,1362.0,15251,15209,46.3578177385,0,2184779,,,,,0,514459,5900,0.94,0.93,0.48,377.8895,1004.0319999999999,15420.327,2653.41,19888.296000000002,,4088.0,0.38,0.91,10986,10980,10980,0,-1,-1,1,1300,143,110,143,124,0,19,0,1,60,97,-1,100,-1,-1,100,100,-1,100,0,5,0,1,0,23358,0,5699,3855,4701,5699,5329,1844,629,2400,2400,2400,2400,2400,9000,9000,1547745248,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190117_XZ_591601919589b0fd1a4e364b87ea1510,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190117_XZ_591601919589b0fd1a4e364b87ea1510,,https://www.target.com/,VM04-01-192.168.10.80,https://www.target.com/,17,1,target-home,3,2019,200,Test Complete,18.1
24,3933.0,,1478.0,,1478.1999999995999,1478.1999999995999,2328,769,11103.0,1478.0,0,1,183.0,1,3005954,2748201,41004,35525,0,,10943,3933,3932,3920,777,18,1478,1478,1455,2151,2151,1478,1478.0,10967,10948,1132,776,776,33,14940.0,0.0,1547819514.02066,10949,10943,3933,3932,783,3921,0,0,212120,269960.0,0,1478,1478,1455,2152,1478.1999999995999,1478.0,14940,14229,42.579293836,29428,2209618,,,,,0,248172,5600,0.94,0.93,0.48,484.1985,1132.871,15640.021999999999,2761.83,19781.218,,4140.0,0.38,0.91,10967,10948,10949,0,-1,-1,1,1500,145,109,145,121,0,24,0,1,60,97,-1,100,-1,-1,99,100,-1,-1,0,5,0,1,0,23788,0,5804,3852,4897,5804,5494,1952,597,2700,2700,2700,2700,2700,9000,9000,1547819529,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190118_0E_91310701643eace48a92b13cadce8dd6,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190118_0E_91310701643eace48a92b13cadce8dd6,,https://www.target.com/,VM01-01-192.168.10.43,https://www.target.com/,18,1,target-home,3,2019,200,Test Complete,18.1
24,,,,,1357.4999999983,1357.4999999983,2173,866,,,0,1,188.0,1,2935610,2678032,38170,33576,0,11081.0,10471,3960,3960,3955,874,21,1357,1357,1337,2146,2146,1357,1357.0,10481,10471,1095,873,873,31,,,1547863643.979301,10472,10471,3961,3960,777,3956,0,0,213841,278787.0,0,1358,1358,1337,2147,1357.4999999983,1358.0,14594,12899,39.5099540582,0,2148179,,,,,0,248172,5500,0.94,0.93,0.46,507.76800000000003,1006.314,8695.055,2653.744,20893.7840000076,,5115.0,0.38,0.91,10481,10472,10472,0,-1,-1,1,1400,134,102,134,115,0,19,0,1,59,97,-1,100,-1,-1,100,100,-1,-1,0,5,0,1,0,22931,0,5566,3896,4760,5566,5361,1670,600,2400,2400,2400,2400,2400,9000,9000,1547863661,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190119_J8_29da4c22215629bbd2aac6122bcb4c58,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190119_J8_29da4c22215629bbd2aac6122bcb4c58,,https://www.target.com/,VM01-04-192.168.10.62,https://www.target.com/,18,1,target-home,3,2019,200,Test Complete,18.1
24,,,,,1057.7000000012,1057.7000000012,2548,770,,,0,1,186.0,2,3226619,2968913,45289,40698,0,12079.0,11459,4468,4468,4463,777,6,1057,1057,1048,2026,2026,1057,1057.0,11468,11459,1102,776,776,30,,,1547907717.6142619,11460,11460,4469,4468,782,4464,0,0,211512,277728.0,0,1058,1058,1049,2026,1057.7000000012,1058.0,16025,16070,47.362216327700004,0,2149184,,,,,0,514459,6600,0.94,0.93,0.46,480.12199999999996,1208.315,8643.923,2877.507,20772.4259999962,,5168.0,0.38,0.91,11469,11460,11460,0,-1,-1,1,1000,146,109,146,125,0,21,0,1,50,97,-1,100,-1,-1,100,100,-1,100,0,5,0,1,0,24573,0,6307,3980,5106,6307,5782,2327,675,2500,2400,2500,2500,2500,9000,9000,1547907734,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190119_VT_86ec88a18373f3fac88f0bf7a0293833,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190119_VT_86ec88a18373f3fac88f0bf7a0293833,,https://www.target.com/,VM03-06-192.168.10.85,https://www.target.com/,19,1,target-home,3,2019,200,Test Complete,18.1
24,,,,,1323.1999999989,1323.1999999989,2407,801,,,0,1,186.0,2,3197768,2940193,45336,40742,0,11294.0,10678,5017,5017,5013,811,23,1323,1323,1305,2065,2065,1323,1323.0,10683,10678,1134,809,809,31,,,1547951837.249668,10678,10678,5017,5017,782,5013,0,0,231722,297680.0,0,1323,1323,1305,2065,1323.1999999989,1323.0,14601,12959,39.815668202800005,0,2147245,,,,,0,514459,5700,0.94,0.93,0.4,456.55300000000005,2430.805,16735.198,4020.1059999999998,16735.198,,4922.0,0.38,0.91,10683,10678,10678,0,-1,-1,1,1300,136,104,136,118,0,18,0,1,58,97,-1,100,-1,-1,100,100,-1,100,0,5,0,1,0,23206,0,5611,3713,4650,5611,5318,1898,667,2600,2600,2600,2600,2600,9000,9000,1547951840,4G,"Dulles, VA - <b>Chrome</b> - <b>4G</b>",True,190120_J9_798d906adc35c734e72c96a613f7986f,170,Dulles:Chrome,0,,1,https://www.webpagetest.org/results.php?test=190120_J9_798d906adc35c734e72c96a613f7986f,,https://www.target.com/,VM02-04-192.168.10.72,https://www.target.com/,19,1,target-home,3,2019,200,Test Complete,18.1
